lambda,W,Wc
0.000,12.781821970345,0
0.002,12.781156338186,-0.000665632
0.004,12.780491452266,-0.00133052
0.006,12.779827307341,-0.00199466
0.008,12.779163924236,-0.00265805
0.010,12.778501307736,-0.00332066
0.012,12.777839448799,-0.00398252
0.014,12.777178392497,-0.00464358
0.016,12.776518051194,-0.00530392
0.018,12.775858626365,-0.00596334
0.020,12.775199298712,-0.00662267
0.022,12.774541559943,-0.00728041
0.024,12.773884293541,-0.00793768
0.026,12.773227718260,-0.00859425
0.028,12.772572119411,-0.00924985
0.030,12.771916984557,-0.00990499
0.032,12.771262652791,-0.0105593
0.034,12.770608979875,-0.011213
0.036,12.769956425932,-0.0118655
0.038,12.769304444948,-0.0125175
0.040,12.768653116418,-0.0131689
0.042,12.768002674000,-0.0138193
0.044,12.767352722397,-0.0144692
0.046,12.766703975687,-0.015118
0.048,12.766055715186,-0.0157663
0.050,12.765408289777,-0.0164137
0.052,12.764761595552,-0.0170604
0.054,12.764115551662,-0.0177064
0.056,12.763470433726,-0.0183515
0.058,12.762825756636,-0.0189962
0.060,12.762182319435,-0.0196397
0.062,12.761539482738,-0.0202825
0.064,12.760897082071,-0.0209249
0.066,12.760255582589,-0.0215664
0.068,12.759615002491,-0.022207
0.070,12.758975120497,-0.0228468
0.072,12.758336006328,-0.023486
0.074,12.757697362378,-0.0241246
0.076,12.757059677825,-0.0247623
0.078,12.756422871105,-0.0253991
0.080,12.755786789140,-0.0260352
0.082,12.755151523719,-0.0266704
0.084,12.754516745840,-0.0273052
0.086,12.753882846386,-0.0279391
0.088,12.753249640305,-0.0285723
0.090,12.752617235854,-0.0292047
0.092,12.751985573788,-0.0298364
0.094,12.751354668060,-0.0304673
0.096,12.750724514934,-0.0310975
0.098,12.750095086148,-0.0317269
0.100,12.749466536561,-0.0323554
0.105,12.747213094728,-0.0346089
0.110,12.745586042686,-0.0362359
0.115,12.743965256559,-0.0378567
0.120,12.742350709015,-0.0394713
0.125,12.740742372528,-0.0410796
0.130,12.739140219501,-0.0426818
0.135,12.737544222225,-0.0442777
0.140,12.735954352892,-0.0458676
0.145,12.734370583596,-0.0474514
0.150,12.732792886366,-0.0490291
0.155,12.731221233143,-0.0506007
0.160,12.729655595784,-0.0521664
0.165,12.728095946116,-0.053726
0.170,12.726542255874,-0.0552797
0.175,12.724994496759,-0.0568275
0.180,12.723452640424,-0.0583693
0.185,12.721916658486,-0.0599053
0.190,12.720386522521,-0.0614354
0.195,12.718862288038,-0.0629597
0.200,12.717343767405,-0.0644782
0.210,12.714323980292,-0.067498
0.220,12.711327009940,-0.070495
0.230,12.708352628497,-0.0734693
0.240,12.705400608189,-0.0764214
0.250,12.702470721521,-0.0793512
0.260,12.699562741385,-0.0822592
0.270,12.696676441209,-0.0851455
0.280,12.693811595020,-0.0880104
0.290,12.690967977652,-0.090854
0.300,12.688145364762,-0.0936766
0.310,12.685343532980,-0.0964784
0.320,12.682562260006,-0.0992597
0.330,12.679801324664,-0.102021
0.340,12.677060507037,-0.104761
0.350,12.674339588497,-0.107482
0.360,12.671638351795,-0.110184
0.370,12.668956581133,-0.112865
0.380,12.666294062234,-0.115528
0.390,12.663650582390,-0.118171
0.400,12.661025930511,-0.120796
0.410,12.658419897190,-0.123402
0.420,12.655832274760,-0.12599
0.430,12.653262857297,-0.128559
0.440,12.650711440719,-0.131111
0.450,12.648177822777,-0.133644
0.460,12.645661803100,-0.13616
0.470,12.643163183265,-0.138659
0.480,12.640681766790,-0.14114
0.490,12.638217359156,-0.143605
0.500,12.635769767880,-0.146052
0.510,12.633338802511,-0.148483
0.520,12.630924274652,-0.150898
0.530,12.628525998020,-0.153296
0.540,12.626143788399,-0.155678
0.550,12.623777466234,-0.158045
0.560,12.621425879970,-0.160396
0.570,12.619090648751,-0.162731
0.580,12.616770750418,-0.165051
0.590,12.614466007664,-0.167356
0.600,12.612176247281,-0.169646
0.610,12.609901298567,-0.171921
0.620,12.607640992150,-0.174181
0.630,12.605395160467,-0.176427
0.640,12.603163637682,-0.178658
0.650,12.600946260004,-0.180876
0.660,12.598742865597,-0.183079
0.670,12.596553294502,-0.185269
0.680,12.594377388752,-0.187445
0.690,12.592214992280,-0.189607
0.700,12.590065950968,-0.191756
0.710,12.587930112560,-0.193892
0.720,12.585807326769,-0.196015
0.730,12.583697445107,-0.198125
0.740,12.581600321054,-0.200222
0.750,12.579515809940,-0.202306
0.760,12.577443768976,-0.204378
0.770,12.575384057250,-0.206438
0.780,12.573336535801,-0.208485
0.790,12.571301067550,-0.210521
0.800,12.569277517451,-0.212544
0.810,12.567265752462,-0.214556
0.820,12.565265641741,-0.216556
0.830,12.563277056873,-0.218545
0.840,12.561299872159,-0.220522
0.850,12.559333965050,-0.222488
0.860,12.557379217139,-0.224443
0.870,12.555435521173,-0.226386
0.880,12.553502343151,-0.22832
0.890,12.551580218344,-0.230242
0.900,12.549668758459,-0.232153
0.910,12.547767848875,-0.234054
0.920,12.545877322412,-0.235945
0.930,12.543996483731,-0.237825
0.940,12.542126359681,-0.239696
0.950,12.540266419061,-0.241556
0.960,12.538416449616,-0.243406
0.970,12.536576313800,-0.245246
0.980,12.534745911159,-0.247076
0.990,12.532925139023,-0.248897
1.000,12.531114210890,-0.250708
