lambda,a,b
0.000,0.00002,0.26672
0.002,0.00099,0.26768
0.004,0.00195,0.26864
0.006,0.00291,0.26960
0.008,0.00388,0.27056
0.010,0.00484,0.27152
0.012,0.00580,0.27247
0.014,0.00676,0.27343
0.016,0.00773,0.27439
0.018,0.00869,0.27535
0.020,0.00965,0.27631
0.022,0.01061,0.27726
0.024,0.01157,0.27822
0.026,0.01254,0.27918
0.028,0.01350,0.28013
0.030,0.01446,0.28109
0.032,0.01542,0.28205
0.034,0.01638,0.28300
0.036,0.01734,0.28396
0.038,0.01830,0.28492
0.040,0.01926,0.28587
0.042,0.02022,0.28683
0.044,0.02118,0.28778
0.046,0.02215,0.28874
0.048,0.02311,0.28969
0.050,0.02407,0.29065
0.052,0.02503,0.29160
0.054,0.02599,0.29256
0.056,0.02695,0.29351
0.058,0.02791,0.29447
0.060,0.02887,0.29542
0.062,0.02982,0.29637
0.064,0.03078,0.29733
0.066,0.03174,0.29828
0.068,0.03270,0.29923
0.070,0.03366,0.30019
0.072,0.03462,0.30114
0.074,0.03558,0.30209
0.076,0.03654,0.30304
0.078,0.03750,0.30400
0.080,0.03845,0.30495
0.082,0.03941,0.30590
0.084,0.04037,0.30685
0.086,0.04133,0.30780
0.088,0.04229,0.30875
0.090,0.04324,0.30970
0.092,0.04420,0.31065
0.094,0.04516,0.31160
0.096,0.04612,0.31255
0.098,0.04707,0.31350
0.100,0.04803,0.31445
0.105,0.00246,0.31101
0.110,0.00519,0.31310
0.115,0.00792,0.31520
0.120,0.01065,0.31729
0.125,0.01338,0.31938
0.130,0.01611,0.32146
0.135,0.01883,0.32355
0.140,0.02155,0.32563
0.145,0.02428,0.32771
0.150,0.02700,0.32979
0.155,0.02972,0.33187
0.160,0.03244,0.33394
0.165,0.03516,0.33602
0.170,0.03787,0.33809
0.175,0.04059,0.34015
0.180,0.04330,0.34222
0.185,0.04602,0.34428
0.190,0.04873,0.34634
0.195,0.05144,0.34840
0.200,0.05415,0.35045
0.210,0.05956,0.35455
0.220,0.06497,0.35864
0.230,0.07037,0.36272
0.240,0.07577,0.36678
0.250,0.08116,0.37083
0.260,0.08655,0.37487
0.270,0.09193,0.37889
0.280,0.09731,0.38289
0.290,0.10268,0.38688
0.300,0.10804,0.39085
0.310,0.11340,0.39481
0.320,0.11875,0.39874
0.330,0.12410,0.40265
0.340,0.12944,0.40654
0.350,0.13477,0.41041
0.360,0.14009,0.41426
0.370,0.14541,0.41808
0.380,0.15073,0.42188
0.390,0.15603,0.42565
0.400,0.16133,0.42939
0.410,0.16662,0.43311
0.420,0.17190,0.43679
0.430,0.17718,0.44044
0.440,0.18245,0.44406
0.450,0.18771,0.44764
0.460,0.19296,0.45119
0.470,0.19820,0.45470
0.480,0.20344,0.45817
0.490,0.20867,0.46160
0.500,0.21388,0.46500
0.510,0.21909,0.46835
0.520,0.22429,0.47166
0.530,0.22948,0.47493
0.540,0.23466,0.47816
0.550,0.23983,0.48135
0.560,0.24499,0.48450
0.570,0.25014,0.48762
0.580,0.25528,0.49069
0.590,0.26041,0.49374
0.600,0.26553,0.49675
0.610,0.27063,0.49973
0.620,0.27573,0.50269
0.630,0.28081,0.50563
0.640,0.28588,0.50855
0.650,0.29093,0.51146
0.660,0.29598,0.51436
0.670,0.30101,0.51725
0.680,0.30602,0.52014
0.690,0.31102,0.52303
0.700,0.31601,0.52593
0.710,0.32098,0.52884
0.720,0.32594,0.53175
0.730,0.33088,0.53469
0.740,0.33580,0.53763
0.750,0.34071,0.54060
0.760,0.34560,0.54359
0.770,0.35047,0.54660
0.780,0.35532,0.54964
0.790,0.36015,0.55269
0.800,0.36497,0.55577
0.810,0.36976,0.55888
0.820,0.37454,0.56201
0.830,0.37929,0.56517
0.840,0.38402,0.56835
0.850,0.38873,0.57155
0.860,0.39342,0.57478
0.870,0.39808,0.57802
0.880,0.40272,0.58130
0.890,0.40734,0.58459
0.900,0.41193,0.58790
0.910,0.41649,0.59123
0.920,0.42103,0.59457
0.930,0.42554,0.59791
0.940,0.43003,0.60128
0.950,0.43448,0.60466
0.960,0.43891,0.60806
0.970,0.44332,0.61145
0.980,0.44769,0.61486
0.990,0.45203,0.61827
1.000,0.45635,0.62169
