lambda,l2norm
0.000,2.7891081e-02
0.002,2.7842963e-02
0.004,2.7794780e-02
0.006,2.7746535e-02
0.008,2.7698229e-02
0.010,2.7649859e-02
0.012,2.7601427e-02
0.014,2.7552934e-02
0.016,2.7504378e-02
0.018,2.7455749e-02
0.020,2.7407105e-02
0.022,2.7358344e-02
0.024,2.7309541e-02
0.026,2.7260678e-02
0.028,2.7211744e-02
0.030,2.7162765e-02
0.032,2.7113727e-02
0.034,2.7064633e-02
0.036,2.7015455e-02
0.038,2.6966223e-02
0.040,2.6916945e-02
0.042,2.6867601e-02
0.044,2.6818211e-02
0.046,2.6768733e-02
0.048,2.6719213e-02
0.050,2.6669630e-02
0.052,2.6619991e-02
0.054,2.6570298e-02
0.056,2.6520537e-02
0.058,2.6470734e-02
0.060,2.6420846e-02
0.062,2.6370914e-02
0.064,2.6320943e-02
0.066,2.6270909e-02
0.068,2.6220790e-02
0.070,2.6170632e-02
0.072,2.6120413e-02
0.074,2.6070156e-02
0.076,2.6019827e-02
0.078,2.5969433e-02
0.080,2.5918988e-02
0.082,2.5868485e-02
0.084,2.5817948e-02
0.086,2.5767340e-02
0.088,2.5716684e-02
0.090,2.5665966e-02
0.092,2.5615195e-02
0.094,2.5564368e-02
0.096,2.5513487e-02
0.098,2.5462554e-02
0.100,2.5411554e-02
0.105,1.0613301e-02
0.110,1.0516526e-02
0.115,1.0420719e-02
0.120,1.0325865e-02
0.125,1.0231948e-02
0.130,1.0138953e-02
0.135,1.0046863e-02
0.140,9.9556638e-03
0.145,9.8653409e-03
0.150,9.7758791e-03
0.155,9.6872642e-03
0.160,9.5994817e-03
0.165,9.5125177e-03
0.170,9.4263582e-03
0.175,9.3409897e-03
0.180,9.2563986e-03
0.185,9.1725718e-03
0.190,9.0894961e-03
0.195,9.0071553e-03
0.200,8.9255431e-03
0.210,8.7644457e-03
0.220,8.6061032e-03
0.230,8.4504210e-03
0.240,8.2973071e-03
0.250,8.1466727e-03
0.260,7.9984315e-03
0.270,7.8524998e-03
0.280,7.7087967e-03
0.290,7.5672436e-03
0.300,7.4277646e-03
0.310,7.2902861e-03
0.320,7.1547366e-03
0.330,7.0210473e-03
0.340,6.8891511e-03
0.350,6.7589833e-03
0.360,6.6304812e-03
0.370,6.5035842e-03
0.380,6.3782334e-03
0.390,6.2543719e-03
0.400,6.1319446e-03
0.410,6.0108983e-03
0.420,5.8911812e-03
0.430,5.7727433e-03
0.440,5.6555363e-03
0.450,5.5395132e-03
0.460,5.4246287e-03
0.470,5.3108388e-03
0.480,5.1981011e-03
0.490,5.0863743e-03
0.500,4.9756185e-03
0.510,4.8657950e-03
0.520,4.7568666e-03
0.530,4.6487970e-03
0.540,4.5415510e-03
0.550,4.4350948e-03
0.560,4.3294108e-03
0.570,4.2244384e-03
0.580,4.1201603e-03
0.590,4.0165468e-03
0.600,3.9135689e-03
0.610,3.8111986e-03
0.620,3.7094089e-03
0.630,3.6081736e-03
0.640,3.5074672e-03
0.650,3.4072651e-03
0.660,3.3075437e-03
0.670,3.2082800e-03
0.680,3.1094516e-03
0.690,3.0110372e-03
0.700,2.9130160e-03
0.710,2.8153678e-03
0.720,2.7180735e-03
0.730,2.6211143e-03
0.740,2.5244722e-03
0.750,2.4281301e-03
0.760,2.3320714e-03
0.770,2.2362801e-03
0.780,2.1407411e-03
0.790,2.0454401e-03
0.800,1.9503635e-03
0.810,1.8554985e-03
0.820,1.7608333e-03
0.830,1.6663572e-03
0.840,1.5720606e-03
0.850,1.4779353e-03
0.860,1.3839752e-03
0.870,1.2901760e-03
0.880,1.1965403e-03
0.890,1.1030657e-03
0.900,1.0097630e-03
0.910,9.1664947e-04
0.920,8.2375635e-04
0.930,7.3114457e-04
0.940,6.3888084e-04
0.950,5.4712523e-04
0.960,4.5615904e-04
0.970,3.6654681e-04
0.980,2.7957347e-04
0.990,1.9898500e-04
1.000,1.6962459e-06
