z,vpotbas,vxcpotbas
0.000000000000000000e+00,-2.427103433133315669e+00,-8.184563312292855386e+00
9.999999999999786837e-03,2.143243632728136783e-01,-5.530702235283700752e+00
2.000000000000046185e-02,1.712169090248517378e+00,-3.998239533110924171e+00
3.000000000000024869e-02,1.353871747275396942e+00,-4.303658780561695707e+00
4.000000000000003553e-02,1.052376604686944273e+00,-4.537274503845114992e+00
4.999999999999982236e-02,9.832575696088797779e-01,-4.526415929232629587e+00
6.000000000000049738e-02,1.038247807300240133e+00,-4.381778977726222379e+00
7.000000000000028422e-02,1.122177700757004626e+00,-4.200582124604059331e+00
8.000000000000007105e-02,1.189879308048248596e+00,-4.029763425358348528e+00
8.999999999999985789e-02,1.230074703096401656e+00,-3.882123194163887625e+00
1.000000000000005329e-01,1.245837335576677418e+00,-3.755873737154204584e+00
1.100000000000003197e-01,1.244357252455970286e+00,-3.644896274597342778e+00
1.200000000000001066e-01,1.232873597272853061e+00,-3.542840086307886160e+00
1.299999999999998934e-01,1.217203596647401298e+00,-3.444624960200641794e+00
1.399999999999996803e-01,1.201365945443225502e+00,-3.346843456149190654e+00
1.500000000000003553e-01,1.187729527208488900e+00,-3.247631286909332449e+00
1.600000000000001421e-01,1.177383391396012113e+00,-3.146311462775218004e+00
1.699999999999999289e-01,1.170540622623695626e+00,-3.043001445050045106e+00
1.799999999999997158e-01,1.166880609494903354e+00,-2.938280175347434131e+00
1.900000000000003908e-01,1.165800566473048860e+00,-2.832944863668439339e+00
2.000000000000001776e-01,1.166583419587457815e+00,-2.727850716546259768e+00
2.099999999999999645e-01,1.168502051391710150e+00,-2.623813682680244952e+00
2.199999999999997513e-01,1.170879861020398316e+00,-2.521556272901043005e+00
2.300000000000004263e-01,1.173122871918379495e+00,-2.421681234555761009e+00
2.400000000000002132e-01,1.174733666812769917e+00,-2.324662852551131920e+00
2.500000000000000000e-01,1.175313786617978140e+00,-2.230849311894959719e+00
2.599999999999997868e-01,1.174558936294729516e+00,-2.140471871891342026e+00
2.700000000000004619e-01,1.172249963731381239e+00,-2.053657973261937553e+00
2.800000000000002487e-01,1.168241707891104486e+00,-1.970446264816608117e+00
2.900000000000000355e-01,1.162451197914501133e+00,-1.890802138314576109e+00
2.999999999999998224e-01,1.154846208078487368e+00,-1.814632818860409280e+00
3.100000000000004974e-01,1.145434792657034961e+00,-1.741801432518835568e+00
3.200000000000002842e-01,1.134256128245503703e+00,-1.672139754092889952e+00
3.300000000000000711e-01,1.121372773589763616e+00,-1.605459549517575413e+00
3.399999999999998579e-01,1.106864310264065399e+00,-1.541562563803879460e+00
3.500000000000005329e-01,1.090822239750619982e+00,-1.480249281443313247e+00
3.600000000000003197e-01,1.073345969734690541e+00,-1.421326611232271109e+00
3.700000000000001066e-01,1.054539711146873282e+00,-1.364614630952936780e+00
3.799999999999998934e-01,1.034510115900207028e+00,-1.309952489632036032e+00
3.899999999999996803e-01,1.013364504225294560e+00,-1.257203498428618893e+00
4.000000000000003553e-01,9.912095535454092943e-01,-1.206259379930726849e+00
4.100000000000001421e-01,9.681503438774096137e-01,-1.157043575300844562e+00
4.199999999999999289e-01,9.442896755714889068e-01,-1.109513458418625031e+00
4.299999999999997158e-01,9.197275928918862142e-01,-1.063661273055809930e+00
4.400000000000003908e-01,8.945610613807775113e-01,-1.019513610730020670e+00
4.500000000000001776e-01,8.688837584611018849e-01,-9.771292832050425536e-01
4.599999999999999645e-01,8.427859458158553085e-01,-9.365955224900037734e-01
4.699999999999997513e-01,8.163543992417789941e-01,-8.980225545602225079e-01
4.800000000000004263e-01,7.896723773585935247e-01,-8.615367311133080852e-01
4.900000000000002132e-01,7.628196151115358425e-01,-8.272725514519259082e-01
5.000000000000000000e-01,7.358723316919653090e-01,-7.953640357294518015e-01
5.099999999999997868e-01,7.089032454990203957e-01,-7.659360056809910722e-01
5.200000000000004619e-01,6.819815911982449741e-01,-7.390958654349750745e-01
5.300000000000002487e-01,6.551731358874582911e-01,-7.149264456377492083e-01
5.400000000000000355e-01,6.285401929190350678e-01,-6.934803797000439474e-01
5.499999999999998224e-01,6.021416331029724178e-01,-6.747763349413143930e-01
5.600000000000004974e-01,5.760328938717981240e-01,-6.587972439289918603e-01
5.700000000000002842e-01,5.502659875700667280e-01,-6.454905007873404932e-01
5.800000000000000711e-01,5.248895103797458495e-01,-6.347699265463321305e-01
5.899999999999998579e-01,4.999486535493171679e-01,-6.265191849644671240e-01
6.000000000000005329e-01,4.754852185979144830e-01,-6.205962590425903036e-01
6.100000000000003197e-01,4.515376380529463329e-01,-6.168385748748679287e-01
6.200000000000001066e-01,4.281410030833084912e-01,-6.150683808174840506e-01
6.299999999999998934e-01,4.053270991397079914e-01,-6.150980440508939662e-01
6.399999999999996803e-01,3.831244504331562384e-01,-6.167349974324172202e-01
6.500000000000003553e-01,3.615583737928401709e-01,-6.197861506513349106e-01
6.600000000000001421e-01,3.406510421610194905e-01,-6.240616533468431593e-01
6.699999999999999289e-01,3.204215577172662144e-01,-6.293779653624600456e-01
6.799999999999997158e-01,3.008860343857039377e-01,-6.355602409418467102e-01
6.900000000000003908e-01,2.820576892718883455e-01,-6.424440705432251653e-01
7.000000000000001776e-01,2.639469424035520984e-01,-6.498766497886745430e-01
7.099999999999999645e-01,2.465615240120446749e-01,-6.577174559533867093e-01
7.199999999999997513e-01,2.299065884881070776e-01,-6.658385173129398593e-01
7.300000000000004263e-01,2.139848340743971677e-01,-6.741243576391723336e-01
7.400000000000002132e-01,1.987966273152098062e-01,-6.824716905665730859e-01
7.500000000000000000e-01,1.843401312676029580e-01,-6.907889306633412385e-01
7.599999999999997868e-01,1.706114364842286069e-01,-6.989955766868278797e-01
7.700000000000004619e-01,1.576046938028372590e-01,-7.070215134978190541e-01
7.800000000000002487e-01,1.453122480173013598e-01,-7.148062690753645976e-01
7.900000000000000355e-01,1.337247715567518869e-01,-7.222982553438448416e-01
7.999999999999998224e-01,1.228313973601276032e-01,-7.294540141249579168e-01
8.100000000000004974e-01,1.126198502003277202e-01,-7.362374835709639687e-01
8.200000000000002842e-01,1.030765757830344187e-01,-7.426192958095598762e-01
8.300000000000000711e-01,9.418686701802647665e-02,-7.485761132494697101e-01
8.399999999999998579e-01,8.593498693386569798e-02,-7.540900066823916781e-01
8.500000000000005329e-01,7.830428777870879209e-02,-7.591478777698883462e-01
8.600000000000003197e-01,7.127732591971913667e-02,-7.637409257831653253e-01
8.700000000000001066e-01,6.483597222014225725e-02,-7.678641578404220569e-01
8.799999999999998934e-01,5.896151763603107998e-02,-7.715159407405089986e-01
8.899999999999996803e-01,5.363477383333337123e-02,-7.746975926120480693e-01
9.000000000000003553e-01,4.883616868035067782e-02,-7.774130114700518179e-01
9.100000000000001421e-01,4.454583652024834972e-02,-7.796683382608525781e-01
9.199999999999999289e-01,4.074370317334874425e-02,-7.814716521056030984e-01
9.299999999999997158e-01,3.740956565934649980e-02,-7.828326943719388087e-01
9.400000000000003908e-01,3.452316666555632629e-02,-7.837626201759152478e-01
9.500000000000001776e-01,3.206426381892901745e-02,-7.842737741368456250e-01
9.599999999999999645e-01,3.001269384712468291e-02,-7.843794887160642215e-01
9.699999999999997513e-01,2.834843173764367563e-02,-7.840939028237057240e-01
9.800000000000004263e-01,2.705164502413581751e-02,-7.834317991716048812e-01
9.900000000000002132e-01,2.610274334582340927e-02,-7.824084583309156571e-01
1.000000000000000000e+00,2.548242343977202840e-02,-7.810395284886368916e-01
1.009999999999999787e+00,2.517170973677962387e-02,-7.793409087782052769e-01
1.020000000000000462e+00,2.515199074020102454e-02,-7.773286456093772001e-01
1.030000000000000249e+00,2.540505137337245589e-02,-7.750188404580121704e-01
1.040000000000000036e+00,2.591310148563119586e-02,-7.724275681387414716e-01
1.049999999999999822e+00,2.665880070952897363e-02,-7.695708046883624753e-01
1.060000000000000497e+00,2.762527986289864401e-02,-7.664643639867377845e-01
1.070000000000000284e+00,2.879615908915278411e-02,-7.631238420245753939e-01
1.080000000000000071e+00,3.015556292774052016e-02,-7.595645688566352582e-01
1.089999999999999858e+00,3.168813250426744110e-02,-7.558015665879094236e-01
1.100000000000000533e+00,3.337903502647521226e-02,-7.518495137873244527e-01
1.110000000000000320e+00,3.521397076829774209e-02,-7.477227149700531594e-01
1.120000000000000107e+00,3.717917771958767492e-02,-7.434350750298892585e-01
1.129999999999999893e+00,3.926143407403215324e-02,-7.390000784848294035e-01
1.140000000000000568e+00,4.144805872226886567e-02,-7.344307722284958428e-01
1.150000000000000355e+00,4.372690991141697792e-02,-7.297397524718356454e-01
1.160000000000000142e+00,4.608638222617322810e-02,-7.249391545847858609e-01
1.169999999999999929e+00,4.851540204039211934e-02,-7.200406463151287628e-01
1.179999999999999716e+00,5.100342158169068885e-02,-7.150554230819757828e-01
1.190000000000000391e+00,5.354041174519208468e-02,-7.099942066837413579e-01
