z,vpotbasa,vxcpotbasa
0.000000000000000000e+00,-1.887852312270744903e+00,-6.205947188055755959e+00
1.000000000000333955e-03,-1.857528084633738086e+00,-6.175527154360286985e+00
1.999999999999779732e-03,-1.768123320624332306e+00,-6.085835327159096586e+00
3.000000000000113687e-03,-1.624213430942275771e+00,-5.941448165967858408e+00
4.000000000000447642e-03,-1.433010798976912525e+00,-5.749579749910101789e+00
4.999999999999893419e-03,-1.203793547486096127e+00,-5.519510471000337759e+00
6.000000000000227374e-03,-9.471960648853083864e-01,-5.261877467074614678e+00
6.999999999999673150e-03,-6.744360567901461767e-01,-4.987901567904976297e+00
8.000000000000007105e-03,-3.965551389115942182e-01,-4.708627778937824360e+00
9.000000000000341061e-03,-1.237425137725834956e-01,-4.434248852900623206e+00
9.999999999999786837e-03,1.352041280195384054e-01,-4.173566096632598033e+00
1.100000000000012079e-02,3.732468143483084200e-01,-3.933621085333121936e+00
1.200000000000045475e-02,5.852931420993371381e-01,-3.719509751080426252e+00
1.299999999999990052e-02,7.682090233862066686e-01,-3.534369594422407168e+00
1.400000000000023448e-02,9.206842259293004371e-01,-3.379514119757200952e+00
1.499999999999968026e-02,1.042987575273680800e+00,-3.254677624513388157e+00
1.600000000000001421e-02,1.136653457639943632e+00,-3.158328700257172272e+00
1.700000000000034817e-02,1.204140308076279142e+00,-3.088011757586389017e+00
1.799999999999979394e-02,1.248496304561482972e+00,-3.040681350786743842e+00
1.900000000000012790e-02,1.273059138889209185e+00,-3.013002428077946604e+00
2.000000000000046185e-02,1.281207194286892115e+00,-3.001599175609909853e+00
2.099999999999990763e-02,1.276170213705506651e+00,-3.003244368308383816e+00
2.200000000000024158e-02,1.260899686612639403e+00,-3.014988999720943585e+00
2.299999999999968736e-02,1.237993346293796648e+00,-3.034237797374048640e+00
2.400000000000002132e-02,1.209664541486338063e+00,-3.058779860008856932e+00
2.500000000000035527e-02,1.177745659251323129e+00,-3.086785240103567585e+00
2.599999999999980105e-02,1.143714833179778623e+00,-3.116778237725325695e+00
2.700000000000013500e-02,1.108736370178718289e+00,-3.147596973685570454e+00
2.800000000000046896e-02,1.073707168725885452e+00,-3.178346968948083884e+00
2.899999999999991473e-02,1.039303454146469186e+00,-3.208354405997360104e+00
3.000000000000024869e-02,1.006024106992889688e+00,-3.237122796453517193e+00
3.099999999999969447e-02,9.742285142029907252e-01,-3.264295125330995084e+00
3.200000000000002842e-02,9.441681414282653284e-01,-3.289622274914338451e+00
3.300000000000036238e-02,9.160119022746230355e-01,-3.312937650867803008e+00
3.399999999999980815e-02,8.898659323126363319e-01,-3.334137405085451533e+00
3.500000000000014211e-02,8.657886351392984903e-01,-3.353165386952190019e+00
3.600000000000047606e-02,8.438019331827840697e-01,-3.370001889699392184e+00
3.699999999999992184e-02,8.238995988592354713e-01,-3.384655317760878912e+00
3.800000000000025580e-02,8.060534195770679977e-01,-3.397156020563283807e+00
3.899999999999970157e-02,7.902178043421855813e-01,-3.407551685339952119e+00
4.000000000000003553e-02,7.763332969066963907e-01,-3.415903823669376838e+00
4.100000000000036948e-02,7.643293351052041773e-01,-3.422285012384664427e+00
4.199999999999981526e-02,7.541264941851327785e-01,-3.426776650804479463e+00
4.300000000000014921e-02,7.456383739887113560e-01,-3.429467074312535502e+00
4.400000000000048317e-02,7.387732331610201708e-01,-3.430449921027950211e+00
4.499999999999992895e-02,7.334354342375313252e-01,-3.429822688202773584e+00
4.600000000000026290e-02,7.295267374313412212e-01,-3.427685439693270109e+00
4.699999999999970868e-02,7.269474645493028131e-01,-3.424139642961904428e+00
4.800000000000004263e-02,7.255975447518540067e-01,-3.419287125003976691e+00
4.900000000000037659e-02,7.253774485784022508e-01,-3.413229140091333935e+00
4.999999999999982236e-02,7.261890141623310591e-01,-3.406065544142602430e+00
5.100000000000015632e-02,7.279361687377795542e-01,-3.397894075290825544e+00
5.200000000000049027e-02,7.305255486526934794e-01,-3.388809734659658179e+00
5.299999999999993605e-02,7.338670216771896460e-01,-3.378904265493868131e+00
5.400000000000027001e-02,7.378741161433153284e-01,-3.368265724554294849e+00
5.499999999999971578e-02,7.424643622018346489e-01,-3.356978143762511024e+00
5.600000000000004974e-02,7.475595511402884918e-01,-3.345121269063319414e+00
5.700000000000038369e-02,7.530859192270645819e-01,-3.332770379267188332e+00
5.799999999999982947e-02,7.589742629111644323e-01,-3.319996171138718921e+00
5.900000000000016342e-02,7.651599924152067134e-01,-3.306864706108147089e+00
6.000000000000049738e-02,7.715831308190329585e-01,-3.293437412883889248e+00
6.099999999999994316e-02,7.781882656577274737e-01,-3.279771134676458200e+00
6.200000000000027711e-02,7.849244598678011275e-01,-3.265918219793400468e+00
6.299999999999972289e-02,7.917451286276439015e-01,-3.251926644851734327e+00
6.400000000000005684e-02,7.986078882721044936e-01,-3.237840166218083127e+00
6.500000000000039080e-02,8.054743830335818755e-01,-3.223698493171941237e+00
6.599999999999983658e-02,8.123100948917135744e-01,-3.209537478559559620e+00
6.700000000000017053e-02,8.190841413151878081e-01,-3.195389321041829600e+00
6.800000000000050449e-02,8.257690651673783577e-01,-3.181282775241771610e+00
6.899999999999995026e-02,8.323406205346980391e-01,-3.167243366255362957e+00
7.000000000000028422e-02,8.387775577330026655e-01,-3.153293604107712422e+00
7.099999999999972999e-02,8.450614102623411616e-01,-3.139453197663132133e+00
7.200000000000006395e-02,8.511762860209279857e-01,-3.125739262608474345e+00
7.300000000000039790e-02,8.571086646601281389e-01,-3.112166524677719259e+00
7.399999999999984368e-02,8.628472025684654767e-01,-3.098747514442067974e+00
7.500000000000017764e-02,8.683825466155293826e-01,-3.085492753353039408e+00
7.600000000000051159e-02,8.737071574681321007e-01,-3.072410931496569297e+00
7.699999999999995737e-02,8.788151430111822426e-01,-3.059509072383369777e+00
7.800000000000029132e-02,8.837021021634043905e-01,-3.046792691562344668e+00
7.899999999999973710e-02,8.883649791721666134e-01,-3.034265939921391819e+00
8.000000000000007105e-02,8.928019283002595063e-01,-3.021931740591928595e+00
8.100000000000040501e-02,8.970121886774795605e-01,-3.009791913839710009e+00
8.199999999999985079e-02,9.009959689794344584e-01,-2.997847292396083496e+00
8.300000000000018474e-02,9.047543415113027399e-01,-2.986097827576364772e+00
8.400000000000051870e-02,9.082891452129108201e-01,-2.974542686193569097e+00
8.499999999999996447e-02,9.116028970603595738e-01,-2.963180339908777050e+00
