z,vpotbasa,vxcpotbasa
0.000000000000000000e+00,2.042240837433288991e+00,-8.369445041931955487e-01
1.000000000000333955e-03,2.027045570844381306e+00,-8.520758135844186398e-01
1.999999999999779732e-03,1.982254232553815942e+00,-8.966755171950633319e-01
3.000000000000113687e-03,1.910185056475255383e+00,-9.684260810872920011e-01
4.000000000000447642e-03,1.814491969556154993e+00,-1.063674710053301053e+00
4.999999999999893419e-03,1.699874634663626649e+00,-1.177723255755746878e+00
6.000000000000227374e-03,1.571718337331682980e+00,-1.305188267673506930e+00
6.999999999999673150e-03,1.435701678886027732e+00,-1.440393229597771718e+00
8.000000000000007105e-03,1.297411180580648971e+00,-1.577753882609644887e+00
9.000000000000341061e-03,1.161998107794606216e+00,-1.712121330686617426e+00
9.999999999999786837e-03,1.033905002038905341e+00,-1.839055445618830831e+00
1.100000000000012079e-02,9.166790121180785622e-01,-1.955011482973683767e+00
1.200000000000045475e-02,8.128778407339010137e-01,-2.057434094796800839e+00
1.299999999999990052e-02,7.240636034495850915e-01,-2.144763442526131492e+00
1.400000000000023448e-02,6.508714438733549379e-01,-2.216366565696517466e+00
1.499999999999968026e-02,5.931341788859338937e-01,-2.272412731064668456e+00
1.600000000000001421e-02,5.500418251439025408e-01,-2.313713908854770018e+00
1.700000000000034817e-02,5.203153427978925993e-01,-2.341551037853381700e+00
1.799999999999979394e-02,5.023767072288405355e-01,-2.357503966284244079e+00
1.900000000000012790e-02,4.945016599228637677e-01,-2.363298715102368774e+00
2.000000000000046185e-02,4.949463347945290970e-01,-2.360680866132695677e+00
2.099999999999990763e-02,5.020436517866595505e-01,-2.351319181248590517e+00
2.200000000000024158e-02,5.142693593536158403e-01,-2.336739570973804803e+00
2.299999999999968736e-02,5.302805713703702128e-01,-2.318286565982854874e+00
2.400000000000002132e-02,5.489314869435408806e-01,-2.297107603158471179e+00
2.500000000000035527e-02,5.692717880073867587e-01,-2.274154631539103022e+00
2.599999999999980105e-02,5.905331811242031659e-01,-2.250197571836376476e+00
2.700000000000013500e-02,6.121089415490392760e-01,-2.225844772280371142e+00
2.800000000000046896e-02,6.335303839897330480e-01,-2.201566536256751583e+00
2.899999999999991473e-02,6.544431426519186079e-01,-2.177718839989188915e+00
3.000000000000024869e-02,6.745851531298265868e-01,-2.154565347951107768e+00
3.099999999999969447e-02,6.937673893972993167e-01,-2.132296672800762849e+00
3.200000000000002842e-02,7.118577652224786778e-01,-2.111046471425330751e+00
3.300000000000036238e-02,7.287681640651832993e-01,-2.090904411939655372e+00
3.399999999999980815e-02,7.444442914942994705e-01,-2.071926319177314735e+00
3.500000000000014211e-02,7.588579125451491159e-01,-2.054141935554929521e+00
3.600000000000047606e-02,7.720010032766646546e-01,-2.037560767629241543e+00
3.699999999999992184e-02,7.838813747700072998e-01,-2.022176461121508950e+00
3.800000000000025580e-02,7.945193897604330147e-01,-2.007970083492799596e+00
3.899999999999970157e-02,8.039454659946778659e-01,-1.994912620215053112e+00
4.000000000000003553e-02,8.121981327764069558e-01,-1.982966918031826564e+00
4.100000000000036948e-02,8.193224706046369210e-01,-1.972089245498902299e+00
4.199999999999981526e-02,8.253688153111318204e-01,-1.962230589235993028e+00
4.300000000000014921e-02,8.303916474519505986e-01,-1.953337765057113762e+00
4.400000000000048317e-02,8.344486162445778898e-01,-1.945354394632792028e+00
4.499999999999992895e-02,8.375996670540890587e-01,-1.938221779006331635e+00
4.600000000000026290e-02,8.399062543944519899e-01,-1.931879686441618338e+00
4.699999999999970868e-02,8.414306304811938197e-01,-1.926267064492960923e+00
4.800000000000004263e-02,8.422352040601381873e-01,-1.921322682307785357e+00
4.900000000000037659e-02,8.423819666929144301e-01,-1.916985705526271344e+00
4.999999999999982236e-02,8.419319847329000961e-01,-1.913196204699811664e+00
5.100000000000015632e-02,8.409449554462622434e-01,-1.909895600552908190e+00
5.200000000000049027e-02,8.394788255002645361e-01,-1.907027046024972305e+00
5.299999999999993605e-02,8.375894695961856318e-01,-1.904535748591048572e+00
5.400000000000027001e-02,8.353304265146699326e-01,-1.902369234571547496e+00
5.499999999999971578e-02,8.327526893534449304e-01,-1.900477560822608103e+00
5.600000000000004974e-02,8.299045463181156101e-01,-1.898813472727007401e+00
5.700000000000038369e-02,8.268314680991797339e-01,-1.897332518599574858e+00
5.799999999999982947e-02,8.235760376398220117e-01,-1.895993120103114382e+00
5.900000000000016342e-02,8.201779179689743238e-01,-1.894756604609832529e+00
6.000000000000049738e-02,8.166738537356950101e-01,-1.893587204782089417e+00
6.099999999999994316e-02,8.130977021249659042e-01,-1.892452026868866488e+00
6.200000000000027711e-02,8.094804889508309120e-01,-1.891320995622776335e+00
6.299999999999972289e-02,8.058504858986468289e-01,-1.890166777081211835e+00
6.400000000000005684e-02,8.022333051124364012e-01,-1.888964684213361167e+00
6.500000000000039080e-02,7.986520075852623357e-01,-1.887692568442785213e+00
6.599999999999983658e-02,7.951272220987242179e-01,-1.886330701040872970e+00
6.700000000000017053e-02,7.916772717634004142e-01,-1.884861646567719484e+00
6.800000000000050449e-02,7.883183055258822236e-01,-1.883270131391142854e+00
6.899999999999995026e-02,7.850644323226327881e-01,-1.881542909750062664e+00
7.000000000000028422e-02,7.819278558697599912e-01,-1.879668628599080016e+00
7.099999999999972999e-02,7.789190083754702343e-01,-1.877637694464646678e+00
7.200000000000006395e-02,7.760466817438853582e-01,-1.875442141701166410e+00
7.300000000000039790e-02,7.733181551022942912e-01,-1.873075505343593239e+00
7.399999999999984368e-02,7.707393177257069183e-01,-1.870532698028547713e+00
7.500000000000017764e-02,7.683147866518724722e-01,-1.867809892233362801e+00
7.600000000000051159e-02,7.660480184756499611e-01,-1.864904409194112933e+00
7.699999999999995737e-02,7.639414149836052381e-01,-1.861814612074699227e+00
7.800000000000029132e-02,7.619964224387363316e-01,-1.858539808301297391e+00
7.899999999999973710e-02,7.602136244518877817e-01,-1.855080155088528304e+00
8.000000000000007105e-02,7.585928284819971612e-01,-1.851436573999653445e+00
8.100000000000040501e-02,7.571331460935937230e-01,-1.847610670520145604e+00
8.199999999999985079e-02,7.558330671682129687e-01,-1.843604659852950300e+00
8.300000000000018474e-02,7.546905283187759217e-01,-1.839421298642685887e+00
8.400000000000051870e-02,7.537029757941169361e-01,-1.835063822019676438e+00
8.499999999999996447e-02,7.528674231866354649e-01,-1.830535886393989786e+00
8.600000000000029843e-02,7.521805042712406131e-01,-1.825841516108488216e+00
8.699999999999974420e-02,7.516385213101270946e-01,-1.820985055758086668e+00
8.800000000000007816e-02,7.512374891568456281e-01,-1.815971125923827367e+00
8.900000000000041211e-02,7.509731754863049336e-01,-1.810804583227617170e+00
8.999999999999985789e-02,7.508411374658268134e-01,-1.805490483804060853e+00
9.100000000000019185e-02,7.508367551674912654e-01,-1.800034049727290419e+00
9.200000000000052580e-02,7.509552620047090787e-01,-1.794440639678297478e+00
9.299999999999997158e-02,7.511917724569863175e-01,-1.788715719955384031e+00
9.400000000000030553e-02,7.515413073272241284e-01,-1.782864840235103276e+00
9.499999999999975131e-02,7.519988167558400161e-01,-1.776893611147218222e+00
9.600000000000008527e-02,7.525592011962998207e-01,-1.770807682294683438e+00
9.700000000000041922e-02,7.532173305375287065e-01,-1.764612724278387557e+00
9.799999999999986500e-02,7.539680615404527053e-01,-1.758314410973739861e+00
9.900000000000019895e-02,7.548062537387987270e-01,-1.751918403940103897e+00
1.000000000000005329e-01,7.557267839383934316e-01,-1.745430338235727685e+00
1.009999999999999787e-01,7.567245594346401205e-01,-1.738855808985376505e+00
1.020000000000003126e-01,7.577945300546080620e-01,-1.732200359862338113e+00
1.029999999999997584e-01,7.589316991182453176e-01,-1.725469472305108498e+00
1.040000000000000924e-01,7.601311334026508160e-01,-1.718668555461887903e+00
1.050000000000004263e-01,7.613879721838661130e-01,-1.711802937442542971e+00
1.059999999999998721e-01,7.626974354225160013e-01,-1.704877857226779092e+00
1.070000000000002061e-01,7.640548311523434055e-01,-1.697898458021080303e+00
1.080000000000005400e-01,7.654555621245162644e-01,-1.690869779670659545e+00
1.089999999999999858e-01,7.668951317552652469e-01,-1.683796753968081372e+00
1.100000000000003197e-01,7.683691494198119365e-01,-1.676684198768365164e+00
1.109999999999997655e-01,7.698733351316779938e-01,-1.669536813734177283e+00
1.120000000000000995e-01,7.714035236432255083e-01,-1.662359176418628515e+00
1.130000000000004334e-01,7.729556680004667779e-01,-1.655155738870834226e+00
1.139999999999998792e-01,7.745258425829086857e-01,-1.647930824577667375e+00
1.150000000000002132e-01,7.761102456572310793e-01,-1.640688626191763255e+00
1.160000000000005471e-01,7.777052014719425532e-01,-1.633433203479960349e+00
1.169999999999999929e-01,7.793071619188409738e-01,-1.626168481815139399e+00
1.180000000000003268e-01,7.809127077858821764e-01,-1.618898251099461394e+00
1.189999999999997726e-01,7.825185496250668393e-01,-1.611626165038660297e+00
1.200000000000001066e-01,7.841215282581288637e-01,-1.604355740519079143e+00
1.210000000000004405e-01,7.857186149419721488e-01,-1.597090357617399370e+00
1.219999999999998863e-01,7.873069112151873661e-01,-1.589833260441090523e+00
1.230000000000002203e-01,7.888836484462753429e-01,-1.582587556670928874e+00
1.239999999999996660e-01,7.904461871036343457e-01,-1.575356219312293193e+00
1.250000000000000000e-01,7.919920157668214333e-01,-1.568142087200874224e+00
1.260000000000003340e-01,7.935187498979514586e-01,-1.560947866427043973e+00
1.269999999999997797e-01,7.950241303916456559e-01,-1.553776132255090481e+00
1.280000000000001137e-01,7.965060219213022652e-01,-1.546629330085514065e+00
1.290000000000004476e-01,7.979624110989200769e-01,-1.539509778654094108e+00
1.299999999999998934e-01,7.993914044651504458e-01,-1.532419670478699425e+00
1.310000000000002274e-01,8.007912263256651286e-01,-1.525361075696439972e+00
1.319999999999996732e-01,8.021602164492835918e-01,-1.518335942961256624e+00
1.330000000000000071e-01,8.034968276428127165e-01,-1.511346103495388560e+00
1.340000000000003411e-01,8.047996232168053155e-01,-1.504393272295521111e+00
1.349999999999997868e-01,8.060672743559298414e-01,-1.497479051558128882e+00
1.360000000000001208e-01,8.072985574069739823e-01,-1.490604933431604051e+00
1.370000000000004547e-01,8.084923510968688998e-01,-1.483772302670878895e+00
1.379999999999999005e-01,8.096476336925202411e-01,-1.476982439667223979e+00
1.390000000000002345e-01,8.107634801135832348e-01,-1.470236523327195677e+00
1.399999999999996803e-01,8.118390590086856928e-01,-1.463535634081282177e+00
1.410000000000000142e-01,8.128736298050149855e-01,-1.456880756979635372e+00
1.420000000000003482e-01,8.138665397405215884e-01,-1.450272784531847048e+00
1.429999999999997939e-01,8.148172208874315814e-01,-1.443712519717053500e+00
1.440000000000001279e-01,8.157251871751560746e-01,-1.437200679592885111e+00
1.450000000000004619e-01,8.165900314200733590e-01,-1.430737897326976427e+00
1.459999999999999076e-01,8.174114223691408831e-01,-1.424324726176180889e+00
1.470000000000002416e-01,8.181891017637172858e-01,-1.417961641770699277e+00
1.479999999999996874e-01,8.189228814294309267e-01,-1.411649045498806210e+00
1.490000000000000213e-01,8.196126403974597352e-01,-1.405387267212867108e+00
1.500000000000003553e-01,8.202583220620351945e-01,-1.399176568066524684e+00
1.509999999999998010e-01,8.208599313785553964e-01,-1.393017143979289996e+00
1.520000000000001350e-01,8.214175321062116009e-01,-1.386909127506635420e+00
1.530000000000004690e-01,8.219312440985993007e-01,-1.380852591047057931e+00
1.539999999999999147e-01,8.224012406453953261e-01,-1.374847549883164710e+00
1.550000000000002487e-01,8.228277458677475398e-01,-1.368893964267573482e+00
1.559999999999996945e-01,8.232110321697074795e-01,-1.362991742234816339e+00
1.570000000000000284e-01,8.235514177476421782e-01,-1.357140742147320056e+00
1.580000000000003624e-01,8.238492641592589649e-01,-1.351340775587900556e+00
1.589999999999998082e-01,8.241049739535681873e-01,-1.345591608895797986e+00
1.600000000000001421e-01,8.243189883628148085e-01,-1.339892966123757967e+00
1.610000000000004761e-01,8.244917850571495954e-01,-1.334244531319832561e+00
1.619999999999999218e-01,8.246238759625779124e-01,-1.328645950402454368e+00
1.630000000000002558e-01,8.247158051424656744e-01,-1.323096833949073625e+00
1.639999999999997016e-01,8.247681467427070423e-01,-1.317596758569329563e+00
1.650000000000000355e-01,8.247815030004588266e-01,-1.312145269455891050e+00
1.660000000000003695e-01,8.247565023161520514e-01,-1.306741882073948258e+00
1.669999999999998153e-01,8.246937973883723405e-01,-1.301386084067749804e+00
1.680000000000001492e-01,8.245940634110304757e-01,-1.296077337768613447e+00
1.690000000000004832e-01,8.244579963321170268e-01,-1.290815080837307338e+00
1.699999999999999289e-01,8.242863111732594561e-01,-1.285598728831806703e+00
1.710000000000002629e-01,8.240797404091531053e-01,-1.280427676458239850e+00
1.719999999999997087e-01,8.238390324058790792e-01,-1.275301299634909347e+00
1.730000000000000426e-01,8.235649499170434318e-01,-1.270218956543986089e+00
1.740000000000003766e-01,8.232582686366092251e-01,-1.265179989259397564e+00
1.749999999999998224e-01,8.229197758072330782e-01,-1.260183725514065101e+00
1.760000000000001563e-01,8.225502688828747466e-01,-1.255229479601794207e+00
1.770000000000004903e-01,8.221505542444265124e-01,-1.250316553868331848e+00
1.779999999999999361e-01,8.217214459670654225e-01,-1.245444240285172866e+00
1.790000000000002700e-01,8.212637646380056555e-01,-1.240611821062233444e+00
1.799999999999997158e-01,8.207783362233604940e-01,-1.235818570592418730e+00
1.810000000000000497e-01,8.202659909827361151e-01,-1.231063755636996992e+00
1.820000000000003837e-01,8.197275624302793329e-01,-1.226346637660381544e+00
1.829999999999998295e-01,8.191638863407977311e-01,-1.221666472385373403e+00
1.840000000000001634e-01,8.185757997996689905e-01,-1.217022512183897343e+00
1.850000000000004974e-01,8.179641402952151363e-01,-1.212414005932758387e+00
1.859999999999999432e-01,8.173297448522502950e-01,-1.207840200505955641e+00
1.870000000000002771e-01,8.166734492055198746e-01,-1.203300341518033667e+00
1.879999999999997229e-01,8.159960870117941578e-01,-1.198793674194650327e+00
1.890000000000000568e-01,8.152984890993650868e-01,-1.194319444003318909e+00
1.900000000000003908e-01,8.145814827537509739e-01,-1.189876897533975297e+00
1.909999999999998366e-01,8.138458910384258616e-01,-1.185465283198990694e+00
1.920000000000001705e-01,8.130925321494177904e-01,-1.181083851908252047e+00
1.930000000000005045e-01,8.123222188026606450e-01,-1.176731857698053663e+00
1.939999999999999503e-01,8.115357576529924621e-01,-1.172408558327794781e+00
1.950000000000002842e-01,8.107339487437450476e-01,-1.168113216084748718e+00
1.959999999999997300e-01,8.099175849858890608e-01,-1.163845097860662037e+00
1.970000000000000639e-01,8.090874516657176052e-01,-1.159603476256922727e+00
1.980000000000003979e-01,8.082443259801148638e-01,-1.155387629502939273e+00
1.989999999999998437e-01,8.073889765984414435e-01,-1.151196842675017651e+00
2.000000000000001776e-01,8.065221632501355931e-01,-1.147030407303945010e+00
2.010000000000005116e-01,8.056446363371465580e-01,-1.142887622355475141e+00
2.019999999999999574e-01,8.047571365703194424e-01,-1.138767794176832604e+00
2.030000000000002913e-01,8.038603946289246682e-01,-1.134670237852484886e+00
2.039999999999997371e-01,8.029551308425306733e-01,-1.130594276153352284e+00
2.050000000000000711e-01,8.020420548944056094e-01,-1.126539240897753702e+00
2.060000000000004050e-01,8.011218655457523763e-01,-1.122504472821513222e+00
2.069999999999998508e-01,8.001952503800024985e-01,-1.118489322031199107e+00
2.080000000000001847e-01,7.992628855664885013e-01,-1.114493148164316327e+00
2.090000000000005187e-01,7.983254356428242104e-01,-1.110515320659773097e+00
2.099999999999999645e-01,7.973835533153024180e-01,-1.106555219168207316e+00
2.110000000000002984e-01,7.964378792767121684e-01,-1.102612233312346479e+00
2.119999999999997442e-01,7.954890420409377327e-01,-1.098685763568707952e+00
2.130000000000000782e-01,7.945376577937495188e-01,-1.094775220598919629e+00
2.140000000000004121e-01,7.935843302592087145e-01,-1.090880026290381277e+00
2.149999999999998579e-01,7.926296505811347703e-01,-1.086999613183995850e+00
2.160000000000001918e-01,7.916741972190790566e-01,-1.083133424890467378e+00
2.170000000000005258e-01,7.907185358583026513e-01,-1.079280916393232426e+00
2.179999999999999716e-01,7.897632193332251305e-01,-1.075441553813831552e+00
2.190000000000003055e-01,7.888087875638682966e-01,-1.071614814702589458e+00
2.199999999999997513e-01,7.878557675048167841e-01,-1.067800188062401956e+00
2.210000000000000853e-01,7.869046731062054878e-01,-1.063997174204982077e+00
2.220000000000004192e-01,7.859560052863279189e-01,-1.060205285490975147e+00
2.229999999999998650e-01,7.850102519153729919e-01,-1.056424045517649901e+00
2.240000000000001990e-01,7.840678878099061055e-01,-1.052652989422182328e+00
2.250000000000005329e-01,7.831293747376619763e-01,-1.048891664351814468e+00
2.259999999999999787e-01,7.821951614322364410e-01,-1.045139628816671662e+00
2.270000000000003126e-01,7.812656836173055286e-01,-1.041396453099847852e+00
2.279999999999997584e-01,7.803413640399732287e-01,-1.037661719090048562e+00
2.290000000000000924e-01,7.794226125128702609e-01,-1.033935020292521045e+00
2.300000000000004263e-01,7.785098259646676677e-01,-1.030215961868521601e+00
2.309999999999998721e-01,7.776033884986159883e-01,-1.026504160454747128e+00
2.320000000000002061e-01,7.767036714587840507e-01,-1.022799244226416437e+00
2.330000000000005400e-01,7.758110335036656480e-01,-1.019100852783453748e+00
2.339999999999999858e-01,7.749258206868128163e-01,-1.015408637159635807e+00
2.350000000000003197e-01,7.740483665441744154e-01,-1.011722259626501641e+00
2.359999999999997655e-01,7.731789921878429173e-01,-1.008041393684914189e+00
2.370000000000000995e-01,7.723180064058960959e-01,-1.004365724241081059e+00
2.380000000000004334e-01,7.714657057680212038e-01,-1.000694946976079303e+00
2.389999999999998792e-01,7.706223747366656163e-01,-9.970287685094494368e-01
2.400000000000002132e-01,7.697882857833948655e-01,-9.933669067784145490e-01
2.410000000000005471e-01,7.689636995102104855e-01,-9.897090900228666666e-01
2.419999999999999929e-01,7.681488647755392307e-01,-9.860550573855595413e-01
2.430000000000003268e-01,7.673440188246429816e-01,-9.824045584266460907e-01
2.439999999999997726e-01,7.665493874241857686e-01,-9.787573532664179954e-01
2.450000000000001066e-01,7.657651850007172190e-01,-9.751132122407362157e-01
2.460000000000004405e-01,7.649916147828219604e-01,-9.714719158412519207e-01
2.469999999999998863e-01,7.642288689467005014e-01,-9.678332547337740177e-01
2.480000000000002203e-01,7.634771287649482208e-01,-9.641970293310750950e-01
2.489999999999996660e-01,7.627365647583239650e-01,-9.605630500250013082e-01
2.500000000000000000e-01,7.620073368502597866e-01,-9.569311366224848570e-01
2.510000000000003340e-01,7.612895945239319673e-01,-9.533011185544491006e-01
2.519999999999997797e-01,7.605834769816650631e-01,-9.496728345652682979e-01
2.530000000000001137e-01,7.598891133064742398e-01,-9.460461325444411429e-01
2.540000000000004476e-01,7.592066226255564931e-01,-9.424208695435192240e-01
2.549999999999998934e-01,7.585361142755360220e-01,-9.387969112724083853e-01
2.560000000000002274e-01,7.578776879692739055e-01,-9.351741325966926865e-01
2.569999999999996732e-01,7.572314339640884295e-01,-9.315524165520989719e-01
2.580000000000000071e-01,7.565974332311720119e-01,-9.279316547748328592e-01
2.590000000000003411e-01,7.559757576260874856e-01,-9.243117471043700295e-01
2.599999999999997868e-01,7.553664700601347981e-01,-9.206926016253480505e-01
2.610000000000001208e-01,7.547696246724671099e-01,-9.170741342108281735e-01
2.620000000000004547e-01,7.541852670027893168e-01,-9.134562685871252530e-01
2.629999999999999005e-01,7.536134341644862289e-01,-9.098389361141621112e-01
2.640000000000002345e-01,7.530541550180587240e-01,-9.062220755251206850e-01
2.649999999999996803e-01,7.525074503447131136e-01,-9.026056330006257955e-01
2.660000000000000142e-01,7.519733330199873667e-01,-8.989895617172478648e-01
2.670000000000003482e-01,7.514518081872749722e-01,-8.953738218937139504e-01
2.679999999999997939e-01,7.509428734311391906e-01,-8.917583805514226469e-01
2.690000000000001279e-01,7.504465189502855793e-01,-8.881432112514890953e-01
2.700000000000004619e-01,7.499627277300942030e-01,-8.845282942913954560e-01
2.709999999999999076e-01,7.494914757145987316e-01,-8.809136159043915448e-01
2.720000000000002416e-01,7.490327319778062876e-01,-8.772991689168729845e-01
2.729999999999996874e-01,7.485864588942703346e-01,-8.736849518285416671e-01
2.740000000000000213e-01,7.481526123088055868e-01,-8.700709691102110899e-01
2.750000000000003553e-01,7.477311417052787679e-01,-8.664572307738438450e-01
2.759999999999998010e-01,7.473219903743588688e-01,-8.628437526132448632e-01
2.770000000000001350e-01,7.469250955801802760e-01,-8.592305555777215442e-01
2.780000000000004690e-01,7.465403887258115212e-01,-8.556176658592191675e-01
2.789999999999999147e-01,7.461677955174799148e-01,-8.520051146595981617e-01
2.800000000000002487e-01,7.458072361274525885e-01,-8.483929382240502637e-01
2.809999999999996945e-01,7.454586253555517406e-01,-8.447811773976108274e-01
2.820000000000000284e-01,7.451218727891921745e-01,-8.411698776554241697e-01
2.830000000000003624e-01,7.447968829619282527e-01,-8.375590889056119259e-01
2.839999999999998082e-01,7.444835555104178937e-01,-8.339488653920821282e-01
2.850000000000001421e-01,7.441817853297760799e-01,-8.303392653373469212e-01
2.860000000000004761e-01,7.438914627272634750e-01,-8.267303513426371708e-01
2.869999999999999218e-01,7.436124735742541958e-01,-8.231221894539766382e-01
2.880000000000002558e-01,7.433446994564594235e-01,-8.195148496249982095e-01
2.889999999999997016e-01,7.430880178223513433e-01,-8.159084052745368965e-01
2.900000000000000355e-01,7.428423021297589912e-01,-8.123029334415041713e-01
2.910000000000003695e-01,7.426074219906089180e-01,-8.086985142979357111e-01
2.919999999999998153e-01,7.423832433137609321e-01,-8.050952312121433252e-01
2.930000000000001492e-01,7.421696284459362580e-01,-8.014931706064771788e-01
2.940000000000004832e-01,7.419664363106908134e-01,-7.978924217769418625e-01
2.949999999999999289e-01,7.417735225454245018e-01,-7.942930767671643189e-01
2.960000000000002629e-01,7.415907396364069815e-01,-7.906952303242620328e-01
2.969999999999997087e-01,7.414179370517908207e-01,-7.870989796473593092e-01
2.980000000000000426e-01,7.412549613726049369e-01,-7.835044243543534126e-01
2.990000000000003766e-01,7.411016564217196567e-01,-7.799116661594320821e-01
2.999999999999998224e-01,7.409578633907585310e-01,-7.763208093280056232e-01
3.010000000000001563e-01,7.408234209649595670e-01,-7.727319597345663205e-01
3.020000000000004903e-01,7.406981654459734443e-01,-7.691452254071189376e-01
3.029999999999999361e-01,7.405819308725962724e-01,-7.655607160630757413e-01
3.040000000000002700e-01,7.404745491394286727e-01,-7.619785431376600027e-01
3.049999999999997158e-01,7.403758501134631853e-01,-7.583988196259268122e-01
3.060000000000000497e-01,7.402856617486011093e-01,-7.548216600206116844e-01
3.070000000000003837e-01,7.402038101980918938e-01,-7.512471801680717931e-01
3.079999999999998295e-01,7.401301199249128437e-01,-7.476754970923795707e-01
3.090000000000001634e-01,7.400644138100738179e-01,-7.441067291333525180e-01
3.100000000000004974e-01,7.400065132588722339e-01,-7.405409955627453300e-01
3.109999999999999432e-01,7.399562383050901637e-01,-7.369784166344754972e-01
3.120000000000002771e-01,7.399134077131512832e-01,-7.334191134602836559e-01
3.129999999999997229e-01,7.398778390782405623e-01,-7.298632078453048955e-01
3.140000000000000568e-01,7.398493489244037935e-01,-7.263108224958199077e-01
3.150000000000003908e-01,7.398277528006276249e-01,-7.227620804887457950e-01
3.159999999999998366e-01,7.398128653749282968e-01,-7.192171054586653511e-01
3.170000000000001705e-01,7.398045005264475282e-01,-7.156760213995065900e-01
3.180000000000005045e-01,7.398024714355762033e-01,-7.121389527735741964e-01
3.189999999999999503e-01,7.398065906721238427e-01,-7.086060241305049967e-01
3.200000000000002842e-01,7.398166702815440754e-01,-7.050773602665836304e-01
3.209999999999997300e-01,7.398325218692323180e-01,-7.015530860307843675e-01
3.220000000000000639e-01,7.398539566829260838e-01,-6.980333262900095814e-01
3.230000000000003979e-01,7.398807856931988169e-01,-6.945182058206442743e-01
3.239999999999998437e-01,7.399128196720961004e-01,-6.910078493043918524e-01
3.250000000000001776e-01,7.399498692699129077e-01,-6.875023809961398058e-01
3.260000000000005116e-01,7.399917450901394300e-01,-6.840019253648448316e-01
3.269999999999999574e-01,7.400382577625901348e-01,-6.805066060249993498e-01
3.280000000000002913e-01,7.400892180147460309e-01,-6.770165463357264990e-01
3.289999999999997371e-01,7.401444367413176906e-01,-6.735318692349856473e-01
3.300000000000000711e-01,7.402037250720587824e-01,-6.700526970680664718e-01
3.310000000000004050e-01,7.402668944378560933e-01,-6.665791515698586966e-01
3.319999999999998508e-01,7.403337566350953747e-01,-6.631113538239858940e-01
3.330000000000001847e-01,7.404041238883620757e-01,-6.596494241932362446e-01
3.340000000000005187e-01,7.404778089114560924e-01,-6.561934822096942010e-01
3.349999999999999645e-01,7.405546249667753766e-01,-6.527436466835812023e-01
3.360000000000002984e-01,7.406343859230808402e-01,-6.493000354265470175e-01
3.369999999999997442e-01,7.407169063116536556e-01,-6.458627653755399933e-01
3.380000000000000782e-01,7.408020013808898074e-01,-6.424319523597348258e-01
3.390000000000004121e-01,7.408894871493281187e-01,-6.390077114180585660e-01
3.399999999999998579e-01,7.409791804571628226e-01,-6.355901562831403062e-01
3.410000000000001918e-01,7.410708990162366838e-01,-6.321793996312887742e-01
3.420000000000005258e-01,7.411644614585584101e-01,-6.287755529492145001e-01
3.429999999999999716e-01,7.412596873833487976e-01,-6.253787265789028105e-01
3.440000000000003055e-01,7.413563974026615710e-01,-6.219890295282823889e-01
3.449999999999997513e-01,7.414544131855731468e-01,-6.186065695203606385e-01
3.460000000000000853e-01,7.415535575009875036e-01,-6.152314529904756579e-01
3.470000000000004192e-01,7.416536542590665970e-01,-6.118637849666050954e-01
3.479999999999998650e-01,7.417545285513122977e-01,-6.085036690371135037e-01
3.490000000000001990e-01,7.418560066893236105e-01,-6.051512074141727204e-01
3.500000000000005329e-01,7.419579162422424989e-01,-6.018065008767949919e-01
3.509999999999999787e-01,7.420600860729282822e-01,-5.984696486052394349e-01
3.520000000000003126e-01,7.421623463728592718e-01,-5.951407482546893224e-01
3.529999999999997584e-01,7.422645286958067246e-01,-5.918198959415414961e-01
3.540000000000000924e-01,7.423664659902837748e-01,-5.885071862107167373e-01
3.550000000000004263e-01,7.424679926308013211e-01,-5.852027119568501412e-01
3.559999999999998721e-01,7.425689444479515178e-01,-5.819065644526137948e-01
3.570000000000002061e-01,7.426691587573330811e-01,-5.786188332907002962e-01
3.580000000000005400e-01,7.427684743873466111e-01,-5.753396063560118900e-01
3.589999999999999858e-01,7.428667317058819108e-01,-5.720689698953920210e-01
3.600000000000003197e-01,7.429637726459044078e-01,-5.688070083378951036e-01
3.609999999999997655e-01,7.430594407299830895e-01,-5.655538043342811516e-01
3.620000000000000995e-01,7.431535810937519582e-01,-5.623094389355378642e-01
3.630000000000004334e-01,7.432460405083556321e-01,-5.590739912159581326e-01
