z,vpotbas,vxcpotbas
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999786837e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000046185e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000024869e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000003553e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.999999999999982236e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000049738e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000028422e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000007105e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999985789e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000005329e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000003197e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000001066e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.299999999999998934e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.399999999999996803e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000003553e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000001421e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.699999999999999289e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999997158e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000003908e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000001776e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.199999999999997513e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000004263e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000002132e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.599999999999997868e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000004619e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000002487e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000355e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999998224e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000004974e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000002842e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.399999999999998579e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000005329e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000003197e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000001066e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.799999999999998934e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.899999999999996803e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000003553e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000001421e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999289e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.299999999999997158e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000003908e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000001776e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.599999999999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.699999999999997513e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000004263e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000002132e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.099999999999997868e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000004619e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000002487e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.499999999999998224e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000004974e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000002842e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.899999999999998579e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000005329e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.100000000000003197e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.200000000000001066e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.299999999999998934e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.399999999999996803e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000003553e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000001421e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.699999999999999289e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.799999999999997158e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.900000000000003908e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000001776e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.099999999999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.199999999999997513e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.300000000000004263e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.400000000000002132e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.599999999999997868e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.700000000000004619e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.800000000000002487e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.900000000000000355e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.999999999999998224e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.100000000000004974e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.200000000000002842e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.300000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.399999999999998579e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000005329e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.600000000000003197e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.700000000000001066e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.799999999999998934e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.899999999999996803e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000003553e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.100000000000001421e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.199999999999999289e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.299999999999997158e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.400000000000003908e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000001776e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.599999999999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.699999999999997513e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.800000000000004263e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.900000000000002132e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.020000000000000462e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.049999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000497e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.070000000000000284e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.089999999999999858e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000533e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.110000000000000320e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.129999999999999893e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.140000000000000568e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.160000000000000142e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.169999999999999929e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.179999999999999716e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.190000000000000391e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.209999999999999964e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.219999999999999751e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.230000000000000426e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.240000000000000213e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.259999999999999787e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.270000000000000462e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000249e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.299999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
