lambda,W,Wc
0.000,12.781656448328,0
0.002,12.780980739862,-0.000675708
0.004,12.780305873416,-0.00135057
0.006,12.779631848668,-0.0020246
0.008,12.778958665242,-0.00269778
0.010,12.778286322784,-0.00337013
0.012,12.777614820927,-0.00404163
0.014,12.776944159270,-0.00471229
0.016,12.776274337442,-0.00538211
0.018,12.775605355045,-0.00605109
0.020,12.774937211675,-0.00671924
0.022,12.774269906906,-0.00738654
0.024,12.773603440339,-0.00805301
0.026,12.772937811540,-0.00871864
0.028,12.772273020060,-0.00938343
0.030,12.771609065478,-0.0100474
0.032,12.770945947295,-0.0107105
0.034,12.770283665137,-0.0113728
0.036,12.769622218484,-0.0120342
0.038,12.768961597920,-0.0126949
0.040,12.768301819823,-0.0133546
0.042,12.767642875720,-0.0140136
0.044,12.766984765133,-0.0146717
0.046,12.766327487539,-0.015329
0.048,12.765671042435,-0.0159854
0.050,12.765015429305,-0.016641
0.052,12.764360647624,-0.0172958
0.054,12.763706696824,-0.0179498
0.056,12.763053576433,-0.0186029
0.058,12.762401285875,-0.0192552
0.060,12.761749824596,-0.0199066
0.062,12.761099192054,-0.0205573
0.064,12.760449387652,-0.0212071
0.066,12.759800410828,-0.021856
0.068,12.759152261005,-0.0225042
0.070,12.758504937610,-0.0231515
0.072,12.757858440038,-0.023798
0.074,12.757212767664,-0.0244437
0.076,12.756567919948,-0.0250885
0.078,12.755923896229,-0.0257326
0.080,12.755280695955,-0.0263758
0.082,12.754638318397,-0.0270181
0.084,12.753996762992,-0.0276597
0.086,12.753356029085,-0.0283004
0.088,12.752716116030,-0.0289403
0.090,12.752077023156,-0.0295794
0.092,12.751438749874,-0.0302177
0.094,12.750801295478,-0.0308552
0.096,12.750164659297,-0.0314918
0.098,12.749528840694,-0.0321276
0.100,12.748893830020,-0.0327626
0.105,12.747309893445,-0.0343466
0.110,12.745731046985,-0.0359254
0.115,12.744157279608,-0.0374992
0.120,12.742588579983,-0.0390679
0.125,12.741024936538,-0.0406315
0.130,12.739466337599,-0.0421901
0.135,12.737912771151,-0.0437437
0.140,12.736364225158,-0.0452922
0.145,12.734820687212,-0.0468358
0.150,12.733282200517,-0.0483742
0.155,12.731748646928,-0.0499078
0.160,12.730220063637,-0.0514364
0.165,12.728696437630,-0.05296
0.170,12.727177755636,-0.0544787
0.175,12.725664004309,-0.0559924
0.180,12.724155169975,-0.0575013
0.185,12.722651238985,-0.0590052
0.190,12.721152197411,-0.0605043
0.195,12.719658031204,-0.0619984
0.200,12.718168734680,-0.0634877
0.210,12.715204651877,-0.0664518
0.220,12.712259839885,-0.0693966
0.230,12.709334180120,-0.0723223
0.240,12.706427552065,-0.0752289
0.250,12.703539833154,-0.0781166
0.260,12.700670899048,-0.0809855
0.270,12.697820623866,-0.0838358
0.280,12.694988880165,-0.0866676
0.290,12.692175538974,-0.0894809
0.300,12.689380469999,-0.092276
0.310,12.686603541836,-0.0950529
0.320,12.683844621815,-0.0978118
0.330,12.681103576368,-0.100553
0.340,12.678380270950,-0.103276
0.350,12.675674570125,-0.105982
0.360,12.672986337802,-0.10867
0.370,12.670315437251,-0.111341
0.380,12.667661731044,-0.113995
0.390,12.665024906850,-0.116632
0.400,12.662405154451,-0.119251
0.410,12.659802179622,-0.121854
0.420,12.657215843479,-0.124441
0.430,12.654646006797,-0.12701
0.440,12.652092530291,-0.129564
0.450,12.649555274535,-0.132101
0.460,12.647034100186,-0.134622
0.470,12.644528867929,-0.137128
0.480,12.642039438490,-0.139617
0.490,12.639565672922,-0.142091
0.500,12.637107432364,-0.144549
0.510,12.634664578179,-0.146992
0.520,12.632236972214,-0.149419
0.530,12.629824476547,-0.151832
0.540,12.627426953559,-0.154229
0.550,12.625044266335,-0.156612
0.560,12.622676278097,-0.15898
0.570,12.620322852712,-0.161334
0.580,12.617983855392,-0.163673
0.590,12.615659576744,-0.165997
0.600,12.613349087740,-0.168307
0.610,12.611052630405,-0.170604
0.620,12.608770072444,-0.172886
0.630,12.606501282124,-0.175155
0.640,12.604246128836,-0.17741
0.650,12.602004482569,-0.179652
0.660,12.599776214115,-0.18188
0.670,12.597561195163,-0.184095
0.680,12.595359298206,-0.186297
0.690,12.593170396630,-0.188486
0.700,12.590994364846,-0.190662
0.710,12.588831077964,-0.192825
0.720,12.586680412219,-0.194976
0.730,12.584542244633,-0.197114
0.740,12.582416453065,-0.19924
0.750,12.580302916790,-0.201354
0.760,12.578201515656,-0.203455
0.770,12.576112130615,-0.205544
0.780,12.574034643547,-0.207622
0.790,12.571968937388,-0.209688
0.800,12.569914896236,-0.211742
0.810,12.567872404839,-0.213784
0.820,12.565841349193,-0.215815
0.830,12.563821616305,-0.217835
0.840,12.561813094231,-0.219843
0.850,12.559815671794,-0.221841
0.860,12.557829239057,-0.223827
0.870,12.555853687101,-0.225803
0.880,12.553888907520,-0.227768
0.890,12.551934797328,-0.229722
0.900,12.549991244156,-0.231665
0.910,12.548058147446,-0.233598
0.920,12.546135402715,-0.235521
0.930,12.544222907034,-0.237434
0.940,12.542320558867,-0.239336
0.950,12.540428257384,-0.241228
0.960,12.538545902797,-0.243111
0.970,12.536673396711,-0.244983
0.980,12.534810640479,-0.246846
0.990,12.532957652866,-0.248699
1.000,12.531114210890,-0.250542
