lambda,a,b
0.000,0.00139,0.29806
0.002,0.00237,0.29879
0.004,0.00334,0.29951
0.006,0.00432,0.30024
0.008,0.00529,0.30096
0.010,0.00627,0.30169
0.012,0.00724,0.30241
0.014,0.00822,0.30313
0.016,0.00919,0.30385
0.018,0.01017,0.30457
0.020,0.01114,0.30529
0.022,0.01212,0.30601
0.024,0.01309,0.30672
0.026,0.01407,0.30744
0.028,0.01504,0.30816
0.030,0.01601,0.30887
0.032,0.01699,0.30958
0.034,0.01796,0.31029
0.036,0.01893,0.31100
0.038,0.01991,0.31171
0.040,0.02088,0.31242
0.042,0.02185,0.31313
0.044,0.02283,0.31384
0.046,0.02380,0.31454
0.048,0.02477,0.31525
0.050,0.02574,0.31595
0.052,0.02671,0.31665
0.054,0.02769,0.31735
0.056,0.02866,0.31805
0.058,0.02963,0.31875
0.060,0.03060,0.31944
0.062,0.03157,0.32014
0.064,0.03254,0.32083
0.066,0.03351,0.32152
0.068,0.03448,0.32221
0.070,0.03546,0.32290
0.072,0.03643,0.32359
0.074,0.03740,0.32427
0.076,0.03837,0.32496
0.078,0.03934,0.32564
0.080,0.04031,0.32632
0.082,0.04128,0.32700
0.084,0.04225,0.32768
0.086,0.04321,0.32836
0.088,0.04418,0.32903
0.090,0.04515,0.32970
0.092,0.04612,0.33037
0.094,0.04709,0.33104
0.096,0.04806,0.33171
0.098,0.04903,0.33238
0.100,0.04999,0.33304
0.105,0.05241,0.33469
0.110,0.05483,0.33633
0.115,0.05725,0.33795
0.120,0.05967,0.33956
0.125,0.06208,0.34116
0.130,0.06450,0.34274
0.135,0.06691,0.34431
0.140,0.06932,0.34587
0.145,0.07173,0.34740
0.150,0.07414,0.34892
0.155,0.07655,0.35043
0.160,0.07896,0.35192
0.165,0.08137,0.35339
0.170,0.08377,0.35484
0.175,0.08618,0.35628
0.180,0.08858,0.35770
0.185,0.09098,0.35910
0.190,0.09338,0.36048
0.195,0.09578,0.36185
0.200,0.09818,0.36320
0.210,0.10298,0.36584
0.220,0.10777,0.36842
0.230,0.11255,0.37094
0.240,0.11733,0.37340
0.250,0.12211,0.37581
0.260,0.12688,0.37818
0.270,0.13164,0.38051
0.280,0.13640,0.38280
0.290,0.14116,0.38508
0.300,0.14591,0.38734
0.310,0.15065,0.38959
0.320,0.15539,0.39185
0.330,0.16012,0.39410
0.340,0.16485,0.39637
0.350,0.16957,0.39866
0.360,0.17429,0.40097
0.370,0.17900,0.40330
0.380,0.18371,0.40567
0.390,0.18841,0.40807
0.400,0.19310,0.41050
0.410,0.19779,0.41298
0.420,0.20247,0.41549
0.430,0.20714,0.41806
0.440,0.21181,0.42067
0.450,0.21647,0.42332
0.460,0.22112,0.42603
0.470,0.22577,0.42878
0.480,0.23041,0.43159
0.490,0.23504,0.43444
0.500,0.23966,0.43735
0.510,0.24428,0.44031
0.520,0.24889,0.44332
0.530,0.25349,0.44639
0.540,0.25808,0.44950
0.550,0.26267,0.45267
0.560,0.26725,0.45588
0.570,0.27181,0.45915
0.580,0.27637,0.46246
0.590,0.28092,0.46582
0.600,0.28546,0.46923
0.610,0.28999,0.47268
0.620,0.29452,0.47618
0.630,0.29903,0.47972
0.640,0.30353,0.48330
0.650,0.30802,0.48692
0.660,0.31250,0.49058
0.670,0.31697,0.49428
0.680,0.32143,0.49801
0.690,0.32588,0.50177
0.700,0.33031,0.50557
0.710,0.33473,0.50939
0.720,0.33915,0.51323
0.730,0.34354,0.51710
0.740,0.34793,0.52099
0.750,0.35230,0.52490
0.760,0.35666,0.52883
0.770,0.36100,0.53277
0.780,0.36534,0.53672
0.790,0.36965,0.54068
0.800,0.37395,0.54464
0.810,0.37824,0.54861
0.820,0.38251,0.55258
0.830,0.38676,0.55655
0.840,0.39100,0.56051
0.850,0.39522,0.56447
0.860,0.39943,0.56842
0.870,0.40362,0.57235
0.880,0.40779,0.57628
0.890,0.41194,0.58018
0.900,0.41607,0.58407
0.910,0.42019,0.58794
0.920,0.42429,0.59179
0.930,0.42836,0.59562
0.940,0.43242,0.59943
0.950,0.43646,0.60320
0.960,0.44048,0.60696
0.970,0.44448,0.61068
0.980,0.44846,0.61438
0.990,0.45241,0.61805
1.000,0.45635,0.62169
