lambda,l2norm
0.000,2.5786158e-04
0.002,2.5736594e-04
0.004,2.5687258e-04
0.006,2.5638148e-04
0.008,2.5589262e-04
0.010,2.5540594e-04
0.012,2.5492143e-04
0.014,2.5443906e-04
0.016,2.5395880e-04
0.018,2.5348061e-04
0.020,2.5300447e-04
0.022,2.5253035e-04
0.024,2.5205823e-04
0.026,2.5158807e-04
0.028,2.5111983e-04
0.030,2.5065350e-04
0.032,2.5018904e-04
0.034,2.4972643e-04
0.036,2.4926564e-04
0.038,2.4880666e-04
0.040,2.4834942e-04
0.042,2.4789393e-04
0.044,2.4744014e-04
0.046,2.4698803e-04
0.048,2.4653758e-04
0.050,2.4608875e-04
0.052,2.4564152e-04
0.054,2.4519587e-04
0.056,2.4475177e-04
0.058,2.4430918e-04
0.060,2.4386809e-04
0.062,2.4342848e-04
0.064,2.4299030e-04
0.066,2.4255355e-04
0.068,2.4211819e-04
0.070,2.4168419e-04
0.072,2.4125154e-04
0.074,2.4082021e-04
0.076,2.4039017e-04
0.078,2.3996141e-04
0.080,2.3953389e-04
0.082,2.3910759e-04
0.084,2.3868249e-04
0.086,2.3825857e-04
0.088,2.3783579e-04
0.090,2.3741415e-04
0.092,2.3699361e-04
0.094,2.3657415e-04
0.096,2.3615575e-04
0.098,2.3573840e-04
0.100,2.3532205e-04
0.105,2.3428549e-04
0.110,2.3325479e-04
0.115,2.3222968e-04
0.120,2.3120977e-04
0.125,2.3019476e-04
0.130,2.2918435e-04
0.135,2.2817826e-04
0.140,2.2717617e-04
0.145,2.2617781e-04
0.150,2.2518303e-04
0.155,2.2419133e-04
0.160,2.2320256e-04
0.165,2.2221646e-04
0.170,2.2123284e-04
0.175,2.2025139e-04
0.180,2.1927191e-04
0.185,2.1829417e-04
0.190,2.1731796e-04
0.195,2.1634308e-04
0.200,2.1536934e-04
0.210,2.1342444e-04
0.220,2.1148181e-04
0.230,2.0954011e-04
0.240,2.0759815e-04
0.250,2.0565471e-04
0.260,2.0370880e-04
0.270,2.0175946e-04
0.280,1.9980589e-04
0.290,1.9784731e-04
0.300,1.9588306e-04
0.310,1.9391264e-04
0.320,1.9193546e-04
0.330,1.8995115e-04
0.340,1.8795938e-04
0.350,1.8595987e-04
0.360,1.8395245e-04
0.370,1.8193696e-04
0.380,1.7991347e-04
0.390,1.7788178e-04
0.400,1.7584212e-04
0.410,1.7379456e-04
0.420,1.7173930e-04
0.430,1.6967656e-04
0.440,1.6760669e-04
0.450,1.6552994e-04
0.460,1.6344675e-04
0.470,1.6135753e-04
0.480,1.5926284e-04
0.490,1.5716316e-04
0.500,1.5505905e-04
0.510,1.5295124e-04
0.520,1.5084029e-04
0.530,1.4872708e-04
0.540,1.8918853e-04
0.550,1.8749734e-04
0.560,1.8581448e-04
0.570,1.8414120e-04
0.580,1.8247818e-04
0.590,1.8082642e-04
0.600,1.7918724e-04
0.610,1.7756162e-04
0.620,1.7595042e-04
0.630,1.7435487e-04
0.640,1.7277626e-04
0.650,1.7121562e-04
0.660,1.6967393e-04
0.670,1.6815290e-04
0.680,1.6665303e-04
0.690,1.6517668e-04
0.700,1.6372387e-04
0.710,1.6229692e-04
0.720,1.6089652e-04
0.730,1.5952402e-04
0.740,1.5818120e-04
0.750,1.5686905e-04
0.760,1.5558885e-04
0.770,1.5434234e-04
0.780,1.5313049e-04
0.790,1.5195508e-04
0.800,1.5081748e-04
0.810,1.4971861e-04
0.820,1.4866018e-04
0.830,1.4764362e-04
0.840,1.4667016e-04
0.850,1.4574126e-04
0.860,1.4485811e-04
0.870,1.4402216e-04
0.880,1.4323454e-04
0.890,1.4249653e-04
0.900,1.4180915e-04
0.910,1.4117429e-04
0.920,1.4059155e-04
0.930,1.4006280e-04
0.940,1.3959042e-04
0.950,1.3917419e-04
0.960,1.3881303e-04
0.970,1.3851179e-04
0.980,1.3826420e-04
0.990,1.3808051e-04
1.000,7.9442662e-05
