lambda,W,Wc
0.000,28.388506430991,0
0.002,28.387422293298,-0.00108414
0.004,28.386344311370,-0.00216212
0.006,28.385263574867,-0.00324286
0.008,28.384192092123,-0.00431434
0.010,28.383124482073,-0.00538195
0.012,28.382049524577,-0.00645691
0.014,28.380976217465,-0.00753021
0.016,28.379910710387,-0.00859572
0.018,28.378835886903,-0.00967054
0.020,28.377771477169,-0.010735
0.022,28.376709233481,-0.0117972
0.024,28.375641106512,-0.0128653
0.026,28.374578284044,-0.0139281
0.028,28.373517212127,-0.0149892
0.030,28.372448647542,-0.0160578
0.032,28.371400511334,-0.0171059
0.034,28.370339178303,-0.0181673
0.036,28.369271080672,-0.0192354
0.038,28.368231588878,-0.0202748
0.040,28.367184511551,-0.0213219
0.042,28.366121592740,-0.0223848
0.044,28.365077978725,-0.0234285
0.046,28.364044393852,-0.024462
0.048,28.362979409070,-0.025527
0.050,28.361933464752,-0.026573
0.052,28.360886574089,-0.0276199
0.054,28.359849667059,-0.0286568
0.056,28.358802200979,-0.0297042
0.058,28.357763587255,-0.0307428
0.060,28.356722244846,-0.0317842
0.062,28.355683840264,-0.0328226
0.064,28.354642782069,-0.0338636
0.066,28.353610719931,-0.0348957
0.068,28.352571517352,-0.0359349
0.070,28.351544498442,-0.0369619
0.072,28.350512931342,-0.0379935
0.074,28.349482610604,-0.0390238
0.076,28.348452864724,-0.0400536
0.078,28.347424958065,-0.0410815
0.080,28.346400480339,-0.042106
0.082,28.345381183336,-0.0431252
0.084,28.344351429180,-0.044155
0.086,28.343335253444,-0.0451712
0.088,28.342315710080,-0.0461907
0.090,28.341298015477,-0.0472084
0.092,28.340267041980,-0.0482394
0.094,28.339253310860,-0.0492531
0.096,28.334914272738,-0.0535922
0.098,28.333898430120,-0.054608
0.100,28.332883959657,-0.0556225
0.105,28.330353766748,-0.0581527
0.110,28.327832093881,-0.0606743
0.115,28.325318904239,-0.0631875
0.120,28.322814160918,-0.0656923
0.125,28.320317826985,-0.0681886
0.130,28.317829865581,-0.0706766
0.135,28.315350239726,-0.0731562
0.140,28.312878912541,-0.0756275
0.145,28.310415847100,-0.0780906
0.150,28.307961006507,-0.0805454
0.155,28.305514353881,-0.0829921
0.160,28.303075852378,-0.0854306
0.165,28.300645465199,-0.087861
0.170,28.298223155540,-0.0902833
0.175,28.295808826798,-0.0926976
0.180,28.293402553429,-0.0951039
0.185,28.291004246662,-0.0975022
0.190,28.288613869844,-0.0998926
0.195,28.286231386439,-0.102275
0.200,28.283856754697,-0.10465
0.210,28.279130925129,-0.109376
0.220,28.274436086511,-0.11407
0.230,28.269771949502,-0.118734
0.240,28.265138226193,-0.123368
0.250,28.260534630162,-0.127972
0.260,28.255960876631,-0.132546
0.270,28.251416682497,-0.13709
0.280,28.246901766477,-0.141605
0.290,28.242415849129,-0.146091
0.300,28.237958652977,-0.150548
0.310,28.233529902563,-0.154977
0.320,28.229129324435,-0.159377
0.330,28.224756647328,-0.16375
0.340,28.220411602101,-0.168095
0.350,28.216093921850,-0.172413
0.360,28.211803341924,-0.176703
0.370,28.207539599968,-0.180967
0.380,28.203302435932,-0.185204
0.390,28.199091592200,-0.189415
0.400,28.194907150303,-0.193599
0.410,28.190748213047,-0.197758
0.420,28.186614836552,-0.201892
0.430,28.182506772045,-0.206
0.440,28.178423773025,-0.210083
0.450,28.174365595418,-0.214141
0.460,28.170331997412,-0.218174
0.470,28.166322739562,-0.222184
0.480,28.162337584718,-0.226169
0.490,28.158376298140,-0.23013
0.500,28.154438647324,-0.234068
0.510,28.150524402125,-0.237982
0.520,28.146633334690,-0.241873
0.530,28.142765219830,-0.245741
0.540,28.138919487793,-0.249587
0.550,28.135096657075,-0.25341
0.560,28.131296111799,-0.25721
0.570,28.127517618386,-0.260989
0.580,28.123760973294,-0.264745
0.590,28.120025973672,-0.26848
0.600,28.116312414322,-0.272194
0.610,28.112620090116,-0.275886
0.620,28.108949175435,-0.279557
0.630,28.105298733442,-0.283208
0.640,28.101668923399,-0.286838
0.650,28.098059546891,-0.290447
0.660,28.094470407701,-0.294036
0.670,28.090901312322,-0.297605
0.680,28.087352068525,-0.301154
0.690,28.083822487250,-0.304684
0.700,28.080312380359,-0.308194
0.710,28.076821563138,-0.311685
0.720,28.073349851754,-0.315157
0.730,28.069897065086,-0.318609
0.740,28.066463023449,-0.322043
0.750,28.063047550087,-0.325459
0.760,28.059650469181,-0.328856
0.770,28.056271607341,-0.332235
0.780,28.052910793107,-0.335596
0.790,28.049567856934,-0.338939
0.800,28.046242630985,-0.342264
0.810,28.042934949310,-0.345571
0.820,28.039644647987,-0.348862
0.830,28.036371564740,-0.352135
0.840,28.033115539327,-0.355391
0.850,28.029876412899,-0.35863
0.860,28.026654028740,-0.361852
0.870,28.023448231745,-0.365058
0.880,28.020258868466,-0.368248
0.890,28.017085787271,-0.371421
0.900,28.013928838247,-0.374578
0.910,28.010787873013,-0.377719
0.920,28.007662745057,-0.380844
0.930,28.004553309309,-0.383953
0.940,28.001459418162,-0.387047
0.950,27.998382019837,-0.390124
0.960,27.995318958110,-0.393187
0.970,27.992271035823,-0.396235
0.980,27.989238116437,-0.399268
0.990,27.986220064734,-0.402286
1.000,27.983216871971,-0.40529
