lambda,a,b
0.000,0.42653,0.00000
0.002,0.42721,0.00130
0.004,0.42795,0.00260
0.006,0.42864,0.00390
0.008,0.42943,0.00520
0.010,0.43027,0.00650
0.012,0.43097,0.00779
0.014,0.43169,0.00909
0.016,0.43249,0.01039
0.018,0.43314,0.01169
0.020,0.43393,0.01299
0.022,0.43471,0.01428
0.024,0.43542,0.01558
0.026,0.43617,0.01688
0.028,0.43692,0.01818
0.030,0.43757,0.01947
0.032,0.43845,0.02077
0.034,0.43915,0.02206
0.036,0.43972,0.02336
0.038,0.44069,0.02466
0.040,0.44155,0.02595
0.042,0.44215,0.02725
0.044,0.44298,0.02854
0.046,0.44394,0.02984
0.048,0.44447,0.03113
0.050,0.44524,0.03243
0.052,0.44597,0.03372
0.054,0.44682,0.03501
0.056,0.44751,0.03631
0.058,0.44830,0.03760
0.060,0.44905,0.03889
0.062,0.44981,0.04019
0.064,0.45052,0.04148
0.066,0.45132,0.04277
0.068,0.45203,0.04407
0.070,0.45287,0.04536
0.072,0.45363,0.04665
0.074,0.45440,0.04794
0.076,0.45515,0.04923
0.078,0.45592,0.05052
0.080,0.45672,0.05181
0.082,0.45756,0.05311
0.084,0.45824,0.05440
0.086,0.45910,0.05569
0.088,0.45991,0.05698
0.090,0.46069,0.05827
0.092,0.46129,0.05956
0.094,0.46211,0.06084
0.096,0.45685,0.00029
0.098,0.45749,0.00173
0.100,0.45814,0.00318
0.105,0.45975,0.00679
0.110,0.46137,0.01040
0.115,0.46299,0.01401
0.120,0.46461,0.01762
0.125,0.46623,0.02122
0.130,0.46786,0.02483
0.135,0.46949,0.02843
0.140,0.47112,0.03203
0.145,0.47275,0.03562
0.150,0.47439,0.03922
0.155,0.47602,0.04281
0.160,0.47766,0.04640
0.165,0.47931,0.04999
0.170,0.48095,0.05358
0.175,0.48259,0.05717
0.180,0.48424,0.06075
0.185,0.48589,0.06433
0.190,0.48754,0.06791
0.195,0.48919,0.07149
0.200,0.49085,0.07506
0.210,0.49416,0.08221
0.220,0.49748,0.08934
0.230,0.50081,0.09647
0.240,0.50414,0.10358
0.250,0.50748,0.11069
0.260,0.51082,0.11779
0.270,0.51417,0.12488
0.280,0.51752,0.13195
0.290,0.52088,0.13902
0.300,0.52424,0.14608
0.310,0.52761,0.15313
0.320,0.53098,0.16016
0.330,0.53436,0.16719
0.340,0.53774,0.17420
0.350,0.54112,0.18120
0.360,0.54451,0.18819
0.370,0.54790,0.19516
0.380,0.55129,0.20213
0.390,0.55469,0.20908
0.400,0.55809,0.21602
0.410,0.56149,0.22294
0.420,0.56489,0.22985
0.430,0.56830,0.23675
0.440,0.57171,0.24363
0.450,0.57512,0.25049
0.460,0.57854,0.25734
0.470,0.58195,0.26417
0.480,0.58537,0.27099
0.490,0.58879,0.27779
0.500,0.59221,0.28457
0.510,0.59563,0.29134
0.520,0.59906,0.29809
0.530,0.60248,0.30481
0.540,0.60591,0.31152
0.550,0.60934,0.31821
0.560,0.61276,0.32488
0.570,0.61619,0.33152
0.580,0.61963,0.33815
0.590,0.62306,0.34475
0.600,0.62649,0.35132
0.610,0.62992,0.35788
0.620,0.63336,0.36441
0.630,0.63679,0.37091
0.640,0.64023,0.37739
0.650,0.64366,0.38384
0.660,0.64710,0.39027
0.670,0.65054,0.39667
0.680,0.65397,0.40303
0.690,0.65741,0.40937
0.700,0.66085,0.41568
0.710,0.66428,0.42195
0.720,0.66772,0.42819
0.730,0.67116,0.43440
0.740,0.67459,0.44058
0.750,0.67803,0.44672
0.760,0.68147,0.45282
0.770,0.68490,0.45889
0.780,0.68834,0.46492
0.790,0.69177,0.47091
0.800,0.69521,0.47686
0.810,0.69864,0.48277
0.820,0.70208,0.48864
0.830,0.70551,0.49447
0.840,0.70895,0.50025
0.850,0.71238,0.50600
0.860,0.71581,0.51169
0.870,0.71924,0.51735
0.880,0.72267,0.52295
0.890,0.72611,0.52851
0.900,0.72953,0.53403
0.910,0.73296,0.53949
0.920,0.73639,0.54491
0.930,0.73982,0.55029
0.940,0.74325,0.55561
0.950,0.74668,0.56089
0.960,0.75011,0.56611
0.970,0.75353,0.57129
0.980,0.75696,0.57642
0.990,0.76038,0.58150
1.000,0.76381,0.58654
