z,vpotbas,vxcpotbas
0.000000000000000000e+00,-4.796936744718083290e+00,-1.258704580389853334e+01
9.999999999999786837e-03,1.769112461507496237e+00,-5.991151387848954180e+00
2.000000000000046185e-02,2.221774451131383721e+00,-5.457817658385614834e+00
3.000000000000024869e-02,1.358782426800386522e+00,-6.200928761240712461e+00
4.000000000000003553e-02,1.279731183311211495e+00,-6.130520575726354338e+00
4.999999999999982236e-02,1.483967076446118138e+00,-5.754963903934221747e+00
6.000000000000049738e-02,1.655614517356005289e+00,-5.396359831438099164e+00
7.000000000000028422e-02,1.729223370257099823e+00,-5.125236962614374114e+00
8.000000000000007105e-02,1.728696807392481993e+00,-4.921723425843573807e+00
8.999999999999985789e-02,1.690948900402887478e+00,-4.752042724418489072e+00
1.000000000000005329e-01,1.644439088719175324e+00,-4.590169253577258246e+00
1.100000000000003197e-01,1.605451933521506280e+00,-4.421704111403077064e+00
1.200000000000001066e-01,1.580378711757989718e+00,-4.241700691668817136e+00
1.299999999999998934e-01,1.569431459645185711e+00,-4.051024562964424369e+00
1.399999999999996803e-01,1.569746346660074288e+00,-3.853306427062872075e+00
1.500000000000003553e-01,1.577384144339555094e+00,-3.652989200399581193e+00
1.600000000000001421e-01,1.588430799168481844e+00,-3.454270067790863319e+00
1.699999999999999289e-01,1.599526445582868384e+00,-3.260610835038479927e+00
1.799999999999997158e-01,1.608067076613774349e+00,-3.074573254860037963e+00
1.900000000000003908e-01,1.612225036703695435e+00,-2.897833736305534202e+00
2.000000000000001776e-01,1.610872999357391366e+00,-2.731293132153071568e+00
2.099999999999999645e-01,1.603463249299973858e+00,-2.575229902079542832e+00
2.199999999999997513e-01,1.589895087880927926e+00,-2.429463716048219091e+00
2.300000000000004263e-01,1.570390123851396869e+00,-2.293509392404325720e+00
2.400000000000002132e-01,1.545385595962865288e+00,-2.166710491254821402e+00
2.500000000000000000e-01,1.515449163980437275e+00,-2.048348419546050181e+00
2.599999999999997868e-01,1.481214475643918282e+00,-1.937726844724134034e+00
2.700000000000004619e-01,1.443334732696739398e+00,-1.834233095435977567e+00
2.800000000000002487e-01,1.402450790809427916e+00,-1.737378712887020393e+00
2.900000000000000355e-01,1.359170444111207354e+00,-1.646821104403261904e+00
2.999999999999998224e-01,1.314056025052259491e+00,-1.562367905150882086e+00
3.100000000000004974e-01,1.267618021505703352e+00,-1.483965592445444903e+00
3.200000000000002842e-01,1.220312937820221544e+00,-1.411674313743575437e+00
3.300000000000000711e-01,1.172544056301713988e+00,-1.345631764833534083e+00
3.399999999999998579e-01,1.124664089145123391e+00,-1.286010049001217848e+00
3.500000000000005329e-01,1.076978965689863621e+00,-1.232970388464888156e+00
3.600000000000003197e-01,1.029752196267115449e+00,-1.186620944970843583e+00
3.700000000000001066e-01,9.832094080485056509e-01,-1.146982572954130752e+00
3.799999999999998934e-01,9.375427710491859301e-01,-1.113966055847852132e+00
3.899999999999996803e-01,8.929151303641660320e-01,-1.087362503677951731e+00
4.000000000000003553e-01,8.494637377784965970e-01,-1.066846559084684953e+00
4.100000000000001421e-01,8.073035347853809718e-01,-1.051990313401983679e+00
4.199999999999999289e-01,7.665299820647506479e-01,-1.042284714991914107e+00
4.299999999999997158e-01,7.272214599014799052e-01,-1.037164876355214593e+00
4.400000000000003908e-01,6.894412822155727705e-01,-1.036035967253514212e+00
4.500000000000001776e-01,6.532393761983454894e-01,-1.038297102459150301e+00
4.599999999999999645e-01,6.186536822381455414e-01,-1.043361538722328508e+00
4.699999999999997513e-01,5.857113268806919404e-01,-1.050672370235094188e+00
4.800000000000004263e-01,5.544296166940023696e-01,-1.059713625022135508e+00
4.900000000000002132e-01,5.248168944444726591e-01,-1.070017148748218405e+00
5.000000000000000000e-01,4.968732919484574184e-01,-1.081165943247001771e+00
5.099999999999997868e-01,4.705914070476427957e-01,-1.092794723556085312e+00
5.200000000000004619e-01,4.459569258140907433e-01,-1.104588441984172942e+00
5.300000000000002487e-01,4.229492055675270201e-01,-1.116279438577137073e+00
5.400000000000000355e-01,4.015418296782724550e-01,-1.127643756631862892e+00
5.499999999999998224e-01,3.817031414270757317e-01,-1.138497039596854332e+00
5.600000000000004974e-01,3.633967613257432783e-01,-1.148690309625828743e+00
5.700000000000002842e-01,3.465820901643221763e-01,-1.158105835548789209e+00
5.800000000000000711e-01,3.312147985222630986e-01,-1.166653221430609122e+00
5.899999999999998579e-01,3.172473024452050483e-01,-1.174265789591691256e+00
6.000000000000005329e-01,3.046292243379276066e-01,-1.180897295127349977e+00
