z,vpotbasa,vxcpotbasa
0.000000000000000000e+00,-2.099125876897875109e+00,-9.889688662607138525e+00
1.000000000000333955e-03,-2.023676004367664483e+00,-9.813925875262249576e+00
1.999999999999779732e-03,-1.804557689959762401e+00,-9.593870931856599782e+00
3.000000000000113687e-03,-1.462376353501685378e+00,-9.250135421412402081e+00
4.000000000000447642e-03,-1.028071317397473372e+00,-8.813668387828585082e+00
4.999999999999893419e-03,-5.385403700908864000e-01,-8.321380150314272584e+00
6.000000000000227374e-03,-3.177793067547685091e-02,-7.811279599164354437e+00
6.999999999999673150e-03,4.576010588006722557e-01,-7.317997216524927850e+00
8.000000000000007105e-03,9.017530166767575572e-01,-6.869392424842851952e+00
9.000000000000341061e-03,1.281520179558126804e+00,-6.484638536013240362e+00
9.999999999999786837e-03,1.586818508883028889e+00,-6.173834458270727410e+00
1.100000000000012079e-02,1.815743563938847727e+00,-5.938898636506011464e+00
1.200000000000045475e-02,1.972821935851202024e+00,-5.775317596887914462e+00
1.299999999999990052e-02,2.066889088888552717e+00,-5.674268200265435880e+00
1.400000000000023448e-02,2.109016282484229343e+00,-5.624690878705757235e+00
1.499999999999968026e-02,2.110781709346282398e+00,-5.615018674874700189e+00
1.600000000000001421e-02,2.083032124727602685e+00,-5.634415774803223975e+00
1.700000000000034817e-02,2.035150373866969176e+00,-5.673510108765086102e+00
1.799999999999979394e-02,1.974754039142954998e+00,-5.724694789767589498e+00
1.900000000000012790e-02,1.907706345514383894e+00,-5.782117253199226425e+00
2.000000000000046185e-02,1.838315115259438137e+00,-5.841480313661052470e+00
2.099999999999990763e-02,1.769615299561695609e+00,-5.899759620301332497e+00
2.200000000000024158e-02,1.703661340927559165e+00,-5.954911266749137511e+00
2.299999999999968736e-02,1.641786496541967066e+00,-6.005612433102732517e+00
2.400000000000002132e-02,1.584811012180300516e+00,-6.051053177427075269e+00
2.500000000000035527e-02,1.533197532071644442e+00,-6.090780992507554004e+00
2.599999999999980105e-02,1.487160998945161960e+00,-6.124590880832139206e+00
2.700000000000013500e-02,1.446743514751763549e+00,-6.152450472716535224e+00
2.800000000000046896e-02,1.411864403313952243e+00,-6.174449950674709697e+00
2.899999999999991473e-02,1.382353856687660754e+00,-6.190768395494346876e+00
3.000000000000024869e-02,1.357976267712168061e+00,-6.201650451313675205e+00
3.099999999999969447e-02,1.338447303249631126e+00,-6.207389254428978376e+00
3.200000000000002842e-02,1.323447204848099412e+00,-6.208313137786143798e+00
3.300000000000036238e-02,1.312631730178506206e+00,-6.204774696815670509e+00
3.399999999999980815e-02,1.305641478510024767e+00,-6.197141475084562146e+00
3.500000000000014211e-02,1.302109960414613354e+00,-6.185787902314099362e+00
3.600000000000047606e-02,1.301670573488606930e+00,-6.171088331676120475e+00
3.699999999999992184e-02,1.303962556463248657e+00,-6.153411094883075805e+00
3.800000000000025580e-02,1.308635963679678271e+00,-6.133113539318570950e+00
3.899999999999970157e-02,1.315355700281367612e+00,-6.110538001640772876e+00
4.000000000000003553e-02,1.323804668631133552e+00,-6.086008669747174693e+00
4.100000000000036948e-02,1.333686089497699623e+00,-6.059829272731914074e+00
4.199999999999981526e-02,1.344725073206590515e+00,-6.032281511806950824e+00
4.300000000000014921e-02,1.356669524427688289e+00,-6.003624164593390766e+00
4.400000000000048317e-02,1.369290469077104166e+00,-5.974092762251434152e+00
4.499999999999992895e-02,1.382381893080586233e+00,-5.943899755386943262e+00
4.600000000000026290e-02,1.395760180915365911e+00,-5.913235076963513137e+00
