z,vpotbasa,vxcpotbasa
0.000000000000000000e+00,-1.185567013899618383e+00,-3.133095502443206115e+00
1.000000000000333955e-03,-1.151973796314939680e+00,-3.099424243548081215e+00
1.999999999999779732e-03,-1.054411879969489707e+00,-3.001628728389932110e+00
3.000000000000113687e-03,-9.020501801750338000e-01,-2.848879403813487698e+00
4.000000000000447642e-03,-7.086561286973613871e-01,-2.654946115491829239e+00
4.999999999999893419e-03,-4.906489335699227294e-01,-2.436251183969715850e+00
6.000000000000227374e-03,-2.649364155889073480e-01,-2.209706026305389592e+00
6.999999999999673150e-03,-4.692344424950717352e-02,-1.990719376490272197e+00
8.000000000000007105e-03,1.509972538650709017e-01,-1.791687903815897265e+00
9.000000000000341061e-03,3.202969708675232896e-01,-1.621144190262318485e+00
9.999999999999786837e-03,4.564837175082972487e-01,-1.483583934579337127e+00
1.100000000000012079e-02,5.587045330417235167e-01,-1.379863595667330634e+00
1.200000000000045475e-02,6.289676440466759333e-01,-1.307978227724208686e+00
1.299999999999990052e-02,6.711984037946649995e-01,-1.264005563493633799e+00
1.400000000000023448e-02,6.903170620927128187e-01,-1.243028282861665001e+00
1.499999999999968026e-02,6.914696725195660365e-01,-1.239903148844932357e+00
1.600000000000001421e-02,6.794772144874219322e-01,-1.249811925070576146e+00
1.700000000000034817e-02,6.585097831153891024e-01,-1.268587217248006382e+00
1.799999999999979394e-02,6.319525757111486008e-01,-1.292846507600692751e+00
1.900000000000012790e-02,6.024107910891784989e-01,-1.319987266524353275e+00
2.000000000000046185e-02,5.717981792689023068e-01,-1.348098405640913988e+00
2.099999999999990763e-02,5.414627606277284677e-01,-1.375834555340232690e+00
2.200000000000024158e-02,5.123169046210841460e-01,-1.402285979178758968e+00
2.299999999999968736e-02,4.849526957568861540e-01,-1.426863199307082830e+00
2.400000000000002132e-02,4.597345306570531642e-01,-1.449204390842348200e+00
2.500000000000035527e-02,4.368682294644426478e-01,-1.469106262201845592e+00
2.599999999999980105e-02,4.164498908752248818e-01,-1.486475193915220760e+00
2.700000000000013500e-02,3.984991511160754785e-01,-1.501293974436220591e+00
2.800000000000046896e-02,3.829814052043926664e-01,-1.513599575718991508e+00
2.899999999999991473e-02,3.698227214726057532e-01,-1.523468236874355730e+00
3.000000000000024869e-02,3.589201661325615023e-01,-1.531005139083143174e+00
3.099999999999969447e-02,3.501493433284388335e-01,-1.536336866122504530e+00
3.200000000000002842e-02,3.433702584151568926e-01,-1.539605542442259001e+00
3.300000000000036238e-02,3.384321344229120898e-01,-1.540964018585419204e+00
3.399999999999980815e-02,3.351775133125881601e-01,-1.540571772774449677e+00
3.500000000000014211e-02,3.334458029647831556e-01,-1.538591365925048526e+00
3.600000000000047606e-02,3.330763423527470790e-01,-1.535185379792337823e+00
3.699999999999992184e-02,3.339110173613693555e-01,-1.530513803516191151e+00
3.800000000000025580e-02,3.357964460050936739e-01,-1.524731851377627567e+00
3.899999999999970157e-02,3.385857509146219524e-01,-1.517988192578166862e+00
