z,vpotbas,vxcpotbas
0.000000000000000000e+00,-6.792036939491747916e-01,-2.626845614124965422e+00
9.999999999999786837e-03,3.935541574693343092e-01,-1.546610774067626703e+00
2.000000000000046185e-02,4.627296115209265093e-01,-1.457217803239762688e+00
3.000000000000024869e-02,3.229843500482499352e-01,-1.566919837913640645e+00
4.000000000000003553e-02,3.173690294737329665e-01,-1.535084878104667760e+00
4.999999999999982236e-02,3.586355136650831166e-01,-1.450899664465495453e+00
6.000000000000049738e-02,3.921203835524914028e-01,-1.370597590065713245e+00
7.000000000000028422e-02,4.067358121591014841e-01,-1.306553443461263342e+00
8.000000000000007105e-02,4.070961678176969190e-01,-1.255180054854353244e+00
8.999999999999985789e-02,4.001285527180876156e-01,-1.210355596690358304e+00
1.000000000000005329e-01,3.912030748218459641e-01,-1.167340079479327386e+00
1.100000000000003197e-01,3.834404946020305571e-01,-1.123505050853188969e+00
1.200000000000001066e-01,3.781279516919936468e-01,-1.077943010907224330e+00
1.299999999999998934e-01,3.754013250437350790e-01,-1.030802656078459112e+00
1.399999999999996803e-01,3.748139059429665965e-01,-9.827344498387530214e-01
1.500000000000003553e-01,3.757008531650435912e-01,-9.345388282142834679e-01
1.600000000000001421e-01,3.773785459103529139e-01,-8.869781815231321254e-01
1.699999999999999289e-01,3.792406325455084937e-01,-8.406906498420423368e-01
1.799999999999997158e-01,3.807961344639416157e-01,-7.961603282328690856e-01
1.900000000000003908e-01,3.816761871152457020e-01,-7.537174658569132379e-01
2.000000000000001776e-01,3.816243445371789167e-01,-7.135540254157801687e-01
2.099999999999999645e-01,3.804792868733635203e-01,-6.757460751675476995e-01
2.199999999999997513e-01,3.781553861529587945e-01,-6.402778283281793659e-01
2.300000000000004263e-01,3.746243490969492496e-01,-6.070643208000678914e-01
2.400000000000002132e-01,3.698995484556133473e-01,-5.759712799109314441e-01
2.500000000000000000e-01,3.640235517920443198e-01,-5.468318181441853554e-01
2.599999999999997868e-01,3.570586922295769239e-01,-5.194602454463586039e-01
2.700000000000004619e-01,3.490802044080639766e-01,-4.936636139933923140e-01
2.800000000000002487e-01,3.401713589688630801e-01,-4.692516751587343382e-01
2.900000000000000355e-01,3.304200691515101762e-01,-4.460458248383658009e-01
2.999999999999998224e-01,3.199165387796190085e-01,-4.238873972344339158e-01
3.100000000000004974e-01,3.087516261041001742e-01,-4.026453852202577788e-01
3.200000000000002842e-01,2.970156900328987382e-01,-3.822233521882750784e-01
3.300000000000000711e-01,2.847977568859290098e-01,-3.625650023086658402e-01
3.399999999999998579e-01,2.721848978035958933e-01,-3.436576495424683575e-01
3.500000000000005329e-01,2.592617433147335615e-01,-3.255327423510177565e-01
3.600000000000003197e-01,2.461100867176089224e-01,-3.082627272031153165e-01
3.700000000000001066e-01,2.328085454051708747e-01,-2.919539024942293115e-01
3.799999999999998934e-01,2.194322615549216815e-01,-2.767354970520953805e-01
3.899999999999996803e-01,2.060526322833088897e-01,-2.627458926732046951e-01
4.000000000000003553e-01,1.927370654006251849e-01,-2.501175251190336790e-01
4.100000000000001421e-01,1.795487609040645194e-01,-2.389623554304797226e-01
4.199999999999999289e-01,1.665465207404065451e-01,-2.293597760212526815e-01
4.299999999999997158e-01,1.537845904980457146e-01,-2.213483917688731650e-01
4.400000000000003908e-01,1.413125368520720682e-01,-2.149224091084370736e-01
4.500000000000001776e-01,1.291751640594470119e-01,-2.100325724906691449e-01
