lambda,a,b
0.000,0.46772,0.00094
0.002,0.46826,0.00224
0.004,0.46879,0.00353
0.006,0.46932,0.00483
0.008,0.46986,0.00612
0.010,0.47039,0.00742
0.012,0.47093,0.00872
0.014,0.47146,0.01001
0.016,0.47200,0.01130
0.018,0.47253,0.01260
0.020,0.47307,0.01389
0.022,0.47361,0.01519
0.024,0.47415,0.01648
0.026,0.47469,0.01778
0.028,0.47523,0.01907
0.030,0.47577,0.02036
0.032,0.47631,0.02166
0.034,0.47685,0.02295
0.036,0.47739,0.02424
0.038,0.47793,0.02553
0.040,0.47848,0.02682
0.042,0.47902,0.02812
0.044,0.47956,0.02941
0.046,0.48011,0.03070
0.048,0.48065,0.03199
0.050,0.48120,0.03328
0.052,0.48174,0.03457
0.054,0.48229,0.03586
0.056,0.48284,0.03715
0.058,0.48338,0.03844
0.060,0.48393,0.03973
0.062,0.48448,0.04102
0.064,0.48503,0.04231
0.066,0.48558,0.04360
0.068,0.48613,0.04489
0.070,0.48668,0.04618
0.072,0.48723,0.04747
0.074,0.48778,0.04876
0.076,0.48833,0.05004
0.078,0.48888,0.05133
0.080,0.48943,0.05262
0.082,0.48999,0.05391
0.084,0.49054,0.05519
0.086,0.49109,0.05648
0.088,0.49165,0.05777
0.090,0.49220,0.05905
0.092,0.49276,0.06034
0.094,0.49331,0.06163
0.096,0.49387,0.06291
0.098,0.49442,0.06420
0.100,0.49498,0.06548
0.105,0.49637,0.06869
0.110,0.49777,0.07190
0.115,0.49917,0.07511
0.120,0.50057,0.07832
0.125,0.50197,0.08153
0.130,0.50338,0.08473
0.135,0.50479,0.08793
0.140,0.50620,0.09113
0.145,0.50761,0.09433
0.150,0.50902,0.09753
0.155,0.51044,0.10073
0.160,0.51186,0.10392
0.165,0.51328,0.10711
0.170,0.51470,0.11031
0.175,0.51613,0.11349
0.180,0.51755,0.11668
0.185,0.51898,0.11987
0.190,0.52041,0.12305
0.195,0.52185,0.12623
0.200,0.52328,0.12941
0.210,0.52615,0.13577
0.220,0.52903,0.14212
0.230,0.53192,0.14846
0.240,0.53482,0.15479
0.250,0.53772,0.16111
0.260,0.54062,0.16743
0.270,0.54354,0.17373
0.280,0.54645,0.18003
0.290,0.54938,0.18632
0.300,0.55231,0.19260
0.310,0.55524,0.19887
0.320,0.55818,0.20513
0.330,0.56112,0.21138
0.340,0.56407,0.21762
0.350,0.56702,0.22385
0.360,0.56998,0.23007
0.370,0.57294,0.23628
0.380,0.57591,0.24248
0.390,0.57888,0.24867
0.400,0.58185,0.25484
0.410,0.58483,0.26100
0.420,0.58781,0.26715
0.430,0.59079,0.27329
0.440,0.59378,0.27942
0.450,0.59677,0.28553
0.460,0.59976,0.29162
0.470,0.60276,0.29770
0.480,0.60569,0.30377
0.490,0.60851,0.30982
0.500,0.61134,0.31586
0.510,0.61418,0.32188
0.520,0.61704,0.32789
0.530,0.61990,0.33388
0.540,0.62278,0.33985
0.550,0.62567,0.34580
0.560,0.62857,0.35174
0.570,0.63148,0.35765
0.580,0.63440,0.36355
0.590,0.63734,0.36943
0.600,0.64028,0.37529
0.610,0.64323,0.38112
0.620,0.64620,0.38694
0.630,0.64917,0.39273
0.640,0.65215,0.39850
0.650,0.65515,0.40425
0.660,0.65815,0.40998
0.670,0.66116,0.41568
0.680,0.66418,0.42136
0.690,0.66721,0.42701
0.700,0.67025,0.43263
0.710,0.67330,0.43823
0.720,0.67635,0.44380
0.730,0.67942,0.44934
0.740,0.68249,0.45486
0.750,0.68557,0.46034
0.760,0.68867,0.46580
0.770,0.69177,0.47123
0.780,0.69487,0.47662
0.790,0.69799,0.48198
0.800,0.70111,0.48732
0.810,0.70423,0.49261
0.820,0.70737,0.49788
0.830,0.71051,0.50311
0.840,0.71366,0.50831
0.850,0.71681,0.51347
0.860,0.71997,0.51860
0.870,0.72314,0.52369
0.880,0.72631,0.52875
0.890,0.72948,0.53377
0.900,0.73267,0.53875
0.910,0.73586,0.54370
0.920,0.73905,0.54861
0.930,0.74225,0.55348
0.940,0.74545,0.55832
0.950,0.74856,0.56312
0.960,0.75161,0.56788
0.970,0.75466,0.57260
0.980,0.75771,0.57728
0.990,0.76076,0.58193
1.000,0.76381,0.58654
