lambda,l2norm
0.000,1.8520431e-03
0.002,1.8500885e-03
0.004,1.8481316e-03
0.006,1.8461726e-03
0.008,1.8442113e-03
0.010,1.8422479e-03
0.012,1.8402823e-03
0.014,1.8383146e-03
0.016,1.8363448e-03
0.018,1.8343730e-03
0.020,1.8323989e-03
0.022,1.8304227e-03
0.024,1.8284445e-03
0.026,1.8264642e-03
0.028,1.8244819e-03
0.030,1.8224974e-03
0.032,1.8205109e-03
0.034,1.8185225e-03
0.036,1.8165319e-03
0.038,1.8145394e-03
0.040,1.8125449e-03
0.042,1.8105484e-03
0.044,1.8085499e-03
0.046,1.8065495e-03
0.048,1.8045470e-03
0.050,1.8025427e-03
0.052,1.8005364e-03
0.054,1.7985283e-03
0.056,1.7965182e-03
0.058,1.7945062e-03
0.060,1.7924924e-03
0.062,1.7905823e-03
0.064,1.7885654e-03
0.066,1.7865466e-03
0.068,1.7845260e-03
0.070,1.7825035e-03
0.072,1.7804793e-03
0.074,1.7784532e-03
0.076,1.7764254e-03
0.078,1.7743958e-03
0.080,1.7723644e-03
0.082,1.7703313e-03
0.084,1.7682963e-03
0.086,1.7662598e-03
0.088,1.7642215e-03
0.090,1.7621815e-03
0.092,1.7601398e-03
0.094,1.7579800e-03
0.096,1.7559343e-03
0.098,1.7538869e-03
0.100,1.7518378e-03
0.105,1.7467079e-03
0.110,1.7415680e-03
0.115,1.7364183e-03
0.120,1.7312589e-03
0.125,1.7260899e-03
0.130,1.7209117e-03
0.135,1.7157243e-03
0.140,1.7105280e-03
0.145,1.7053229e-03
0.150,1.7001093e-03
0.155,1.6948873e-03
0.160,1.6896572e-03
0.165,1.6844190e-03
0.170,1.6791730e-03
0.175,1.6739194e-03
0.180,1.6686584e-03
0.185,1.6633902e-03
0.190,1.6581149e-03
0.195,1.6528328e-03
0.200,1.6475440e-03
0.210,1.6369473e-03
0.220,1.6263262e-03
0.230,1.6156828e-03
0.240,1.6050177e-03
0.250,1.5943330e-03
0.260,1.5836301e-03
0.270,1.5729108e-03
0.280,1.5621765e-03
0.290,1.5514289e-03
0.300,1.5406696e-03
0.310,1.5299001e-03
0.320,1.5191221e-03
0.330,1.5084087e-03
0.340,1.4976128e-03
0.350,1.4868134e-03
0.360,1.4760123e-03
0.370,1.4652111e-03
0.380,1.4544114e-03
0.390,1.4436152e-03
0.400,1.4328238e-03
0.410,1.4220393e-03
0.420,1.4112633e-03
0.430,1.4004969e-03
0.440,1.3897432e-03
0.450,1.3790036e-03
0.460,1.3682799e-03
0.470,1.3575739e-03
0.480,1.3471300e-03
0.490,1.3362231e-03
0.500,1.3255820e-03
0.510,1.3149666e-03
0.520,1.3043789e-03
0.530,1.2938210e-03
0.540,1.2832951e-03
0.550,1.2728033e-03
0.560,1.2623479e-03
0.570,1.2518400e-03
0.580,1.2414600e-03
0.590,1.2313821e-03
0.600,1.2210893e-03
0.610,1.2112087e-03
0.620,1.2003986e-03
0.630,1.1902606e-03
0.640,1.1801785e-03
0.650,1.1701554e-03
0.660,1.1601937e-03
0.670,1.1507929e-03
0.680,1.1410323e-03
0.690,1.1312671e-03
0.700,1.1215759e-03
0.710,1.1118135e-03
0.720,1.1030032e-03
0.730,1.0935420e-03
0.740,1.0841681e-03
0.750,1.0748849e-03
0.760,1.0656976e-03
0.770,1.0566068e-03
0.780,1.0476174e-03
0.790,1.0387335e-03
0.800,1.0299587e-03
0.810,1.0212970e-03
0.820,1.0127524e-03
0.830,1.0043295e-03
0.840,9.9603120e-04
0.850,9.8786350e-04
0.860,9.7982897e-04
0.870,9.7193373e-04
0.880,9.6418056e-04
0.890,9.5657590e-04
0.900,9.4912329e-04
0.910,9.4182681e-04
0.920,9.3469186e-04
0.930,9.2737982e-04
0.940,9.2057076e-04
0.950,9.1393814e-04
0.960,9.0748694e-04
0.970,9.0122218e-04
0.980,8.9514911e-04
0.990,8.8927210e-04
1.000,9.9647629e-05
